,sample,exp_type,media,passage,comm,subject,mesocosm,type_mesocosm
0,B10-e003Assembly-mGAM-p3,e003Assembly,mGAM,3,B10,AE,B10-AE-mGAM,AE-mGAM
1,B10-e003Assembly-mGAM-p5,e003Assembly,mGAM,5,B10,AE,B10-AE-mGAM,AE-mGAM
2,B10-e003GlycerolRevival-mGAM-p2,e003GlycerolRevival,mGAM,1,B10,AE,B10-AE-mGAM,AE-mGAM
3,B11-e003Assembly-mGAM-p3,e003Assembly,mGAM,3,B11,AF,B11-AF-mGAM,AF-mGAM
4,B11-e003Assembly-mGAM-p5,e003Assembly,mGAM,5,B11,AF,B11-AF-mGAM,AF-mGAM
5,B11-e003GlycerolRevival-mGAM-p2,e003GlycerolRevival,mGAM,1,B11,AF,B11-AF-mGAM,AF-mGAM
6,B2-e003Assembly-mBHI-p3,e003Assembly,mBHI,3,B2,AA,B2-AA-mBHI,AA-mBHI
7,B2-e003Assembly-mBHI-p5,e003Assembly,mBHI,5,B2,AA,B2-AA-mBHI,AA-mBHI
8,B3-e003Assembly-mBHI-p3,e003Assembly,mBHI,3,B3,AC/PP,B3-AC/PP-mBHI,AC/PP-mBHI
9,B3-e003Assembly-mBHI-p5,e003Assembly,mBHI,5,B3,AC/PP,B3-AC/PP-mBHI,AC/PP-mBHI
10,B4-e003Assembly-mBHI-p3,e003Assembly,mBHI,3,B4,AE,B4-AE-mBHI,AE-mBHI
11,B4-e003Assembly-mBHI-p5,e003Assembly,mBHI,5,B4,AE,B4-AE-mBHI,AE-mBHI
12,B5-e003Assembly-mBHI-p5,e003Assembly,mBHI,5,B5,AF,B5-AF-mBHI,AF-mBHI
13,B8-e003Assembly-mGAM-p3,e003Assembly,mGAM,3,B8,AA,B8-AA-mGAM,AA-mGAM
14,B8-e003Assembly-mGAM-p5,e003Assembly,mGAM,5,B8,AA,B8-AA-mGAM,AA-mGAM
15,B8-e003GlycerolRevival-mGAM-p2,e003GlycerolRevival,mGAM,1,B8,AA,B8-AA-mGAM,AA-mGAM
16,B9-e003Assembly-mGAM-p5,e003Assembly,mGAM,5,B9,AC/PP,B9-AC/PP-mGAM,AC/PP-mGAM
17,B9-e003GlycerolRevival-mGAM-p2,e003GlycerolRevival,mGAM,1,B9,AC/PP,B9-AC/PP-mGAM,AC/PP-mGAM
18,C10-e003Assembly-mGAM-p3,e003Assembly,mGAM,3,C10,AE,C10-AE-mGAM,AE-mGAM
19,C10-e003GlycerolRevival-mGAM-p2,e003GlycerolRevival,mGAM,1,C10,AE,C10-AE-mGAM,AE-mGAM
20,C11-e003Assembly-mGAM-p3,e003Assembly,mGAM,3,C11,AF,C11-AF-mGAM,AF-mGAM
21,C11-e003Assembly-mGAM-p5,e003Assembly,mGAM,5,C11,AF,C11-AF-mGAM,AF-mGAM
22,C11-e003GlycerolRevival-mGAM-p2,e003GlycerolRevival,mGAM,1,C11,AF,C11-AF-mGAM,AF-mGAM
23,C2-e003Assembly-mBHI-p5,e003Assembly,mBHI,5,C2,AA,C2-AA-mBHI,AA-mBHI
24,C3-e003Assembly-mBHI-p5,e003Assembly,mBHI,5,C3,AC/PP,C3-AC/PP-mBHI,AC/PP-mBHI
25,C3-e003GlycerolRevival-mBHI-p2,e003GlycerolRevival,mBHI,1,C3,AC/PP,C3-AC/PP-mBHI,AC/PP-mBHI
26,C4-e003Assembly-mBHI-p3,e003Assembly,mBHI,3,C4,AE,C4-AE-mBHI,AE-mBHI
27,C4-e003Assembly-mBHI-p5,e003Assembly,mBHI,5,C4,AE,C4-AE-mBHI,AE-mBHI
28,C4-e003GlycerolRevival-mBHI-p2,e003GlycerolRevival,mBHI,1,C4,AE,C4-AE-mBHI,AE-mBHI
29,C5-e003Assembly-mBHI-p3,e003Assembly,mBHI,3,C5,AF,C5-AF-mBHI,AF-mBHI
30,C5-e003Assembly-mBHI-p5,e003Assembly,mBHI,5,C5,AF,C5-AF-mBHI,AF-mBHI
31,C5-e003GlycerolRevival-mBHI-p2,e003GlycerolRevival,mBHI,1,C5,AF,C5-AF-mBHI,AF-mBHI
32,C8-e003Assembly-mGAM-p3,e003Assembly,mGAM,3,C8,AA,C8-AA-mGAM,AA-mGAM
33,C8-e003Assembly-mGAM-p5,e003Assembly,mGAM,5,C8,AA,C8-AA-mGAM,AA-mGAM
34,C8-e003GlycerolRevival-mGAM-p2,e003GlycerolRevival,mGAM,1,C8,AA,C8-AA-mGAM,AA-mGAM
35,C9-e003Assembly-mGAM-p5,e003Assembly,mGAM,5,C9,AC/PP,C9-AC/PP-mGAM,AC/PP-mGAM
36,C9-e003GlycerolRevival-mGAM-p2,e003GlycerolRevival,mGAM,1,C9,AC/PP,C9-AC/PP-mGAM,AC/PP-mGAM
37,D10-e003Assembly-mGAM-p3,e003Assembly,mGAM,3,D10,AE,D10-AE-mGAM,AE-mGAM
38,D10-e003Assembly-mGAM-p5,e003Assembly,mGAM,5,D10,AE,D10-AE-mGAM,AE-mGAM
39,D11-e003Assembly-mGAM-p3,e003Assembly,mGAM,3,D11,AF,D11-AF-mGAM,AF-mGAM
40,D11-e003Assembly-mGAM-p5,e003Assembly,mGAM,5,D11,AF,D11-AF-mGAM,AF-mGAM
41,D2-e003Assembly-mBHI-p3,e003Assembly,mBHI,3,D2,AA,D2-AA-mBHI,AA-mBHI
