,Unnamed: 0,comm,comm-media,inoculumn,inoculumn_sample,is_inoculumn,media,mesocosm,parent_media,parent_subjects,passage,sample,type_mesocosm,redo,counts,mesocosm-passage
0,0,C9,C9-mGAM,AC/PP-AE-mGAM,C3-e003Coalescence-Inoculumn-mGAM,False,mGAM,C9-AC/PP-AE-mGAM-mGAM,mGAM,AC/PP-AE,3,C9-e003Coalescence-mGAM-p3,AC/PP-AE-mGAM-mGAM,False,1,C9-AC/PP-AE-mGAM-mGAM3
2,2,C11,C11-mBHI,AE-AF-mGAM,C5-e003Coalescence-Inoculumn-mGAM,False,mBHI,C11-AE-AF-mGAM-mBHI,mGAM,AE-AF,3,C11-e003Coalescence-mBHI-p3,AE-AF-mGAM-mBHI,False,1,C11-AE-AF-mGAM-mBHI3
3,3,D11,D11-mBHI,AF-AF-mGAM,D5-e003Coalescence-Inoculumn-mGAM,False,mBHI,D11-AF-AF-mGAM-mBHI,mGAM,AF-AF,5,D11-e003Coalescence-mBHI-p5,AF-AF-mGAM-mBHI,False,1,D11-AF-AF-mGAM-mBHI5
4,4,C9,C9-mGAM,AC/PP-AE-mGAM,C3-e003Coalescence-Inoculumn-mGAM,False,mGAM,C9-AC/PP-AE-mGAM-mGAM,mGAM,AC/PP-AE,7,C9-e003Coalescence-mGAM-p7,AC/PP-AE-mGAM-mGAM,False,1,C9-AC/PP-AE-mGAM-mGAM7
5,5,C8,C8-mGAM,AA-AE-mGAM,C2-e003Coalescence-Inoculumn-mGAM,False,mGAM,C8-AA-AE-mGAM-mGAM,mGAM,AA-AE,7,C8-e003Coalescence-mGAM-p7,AA-AE-mGAM-mGAM,False,1,C8-AA-AE-mGAM-mGAM7
6,6,D10,D10-mBHI,AE-AF-mGAM,D4-e003Coalescence-Inoculumn-mGAM,False,mBHI,D10-AE-AF-mGAM-mBHI,mGAM,AE-AF,3,D10-e003Coalescence-mBHI-p3,AE-AF-mGAM-mBHI,False,1,D10-AE-AF-mGAM-mBHI3
7,7,B2,B2-mBHI,AA-AC/PP-mBHI,B2-e003Coalescence-Inoculumn-mBHI,False,mBHI,B2-AA-AC/PP-mBHI-mBHI,mBHI,AA-AC/PP,3,B2-e003Coalescence-mBHI-p3,AA-AC/PP-mBHI-mBHI,False,1,B2-AA-AC/PP-mBHI-mBHI3
8,8,A8,A8-mBHI,AA-AA-mGAM,A2-e003Coalescence-Inoculumn-mGAM,False,mBHI,A8-AA-AA-mGAM-mBHI,mGAM,AA-AA,3,A8-e003Coalescence-mBHI-p3,AA-AA-mGAM-mBHI,False,1,A8-AA-AA-mGAM-mBHI3
9,9,A4,A4-mBHI,AA-AE-mBHI,A4-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,A4-AA-AE-mBHI-mBHI,mBHI,AA-AE,7,A4-e003Coalescence-mBHI-p7,AA-AE-mBHI-mBHI,False,1,A4-AA-AE-mBHI-mBHI7
11,11,B4,B4-mBHI,AC/PP-AE-mBHI,B4-e003Coalescence-Inoculumn-mBHI,False,mBHI,B4-AC/PP-AE-mBHI-mBHI,mBHI,AC/PP-AE,5,B4-e003Coalescence-mBHI-p5,AC/PP-AE-mBHI-mBHI,False,1,B4-AC/PP-AE-mBHI-mBHI5
