,0
C11-e003Coalescence-mBHI-p3,3.394415278502212e-05
C9-e003Coalescence-mGAM-p7,0.000478823564164762
D10-e003Coalescence-mBHI-p3,4.9083810720954424e-05
A4-e003Coalescence-mBHI-inoculumn-redo,0.0025243694540368054
C5-e004Assembly-mBHI-p3,5.501837149597604e-05
D10-e003Assembly-mGAM-p5,4.003861272148134e-05
e004-inoculumn-fecal-AK,1.7803620722346304e-05
C3-e003Coalescence-mGAM-p3,0.0006698724113611592
C2-e003Coalescence-mGAM-p7,0.0020256459261104027
C9-e003Coalescence-mBHI-p5,0.00042457551859912665
C2-e003Coalescence-mBHI-p3,0.0005986925273409467
D4-e003Coalescence-mBHI-p7,1.9644875474332373e-05
D10-e003Coalescence-mBHI-p5,8.440575421084759e-05
C8-e003Coalescence-mBHI-p7,3.238384627882162e-05
F2-e004Assembly-epsilon-p3,7.095929189005056e-05
BF-Fecal,0.00042464146030070794
C5-e003Coalescence-mBHI-p5,6.818559129754215e-05
G2-e004Assembly-epsilon-p3,7.057217889210052e-05
C3-e003Coalescence-Inoculumn-mGAM,0.0006509166427562115
D4-e003Coalescence-Inoculumn-mBHI,7.603587531478285e-05
C2-e004Assembly-mBHI-p7,2.54475645254808e-05
D5-e004Assembly-mGAM-p3,7.068904880582243e-05
A10-e003Coalescence-mBHI-p7,2.1799201451652424e-05
C10-e003Coalescence-mBHI-p7,6.25649647501972e-05
C11-e003Coalescence-mBHI-p5,0.00011971631467760512
C2-e003Coalescence-Inoculumn-mGAM,5.247984346849293e-05
B4-e003Coalescence-Inoculumn-mGAM,0.0007080692024727368
F2-e004Assembly-epsilon-p7,5.015269270413814e-05
C4-e003Coalescence-Inoculumn-mGAM,5.928203240364182e-05
C3-e003Coalescence-mGAM-p7,0.0006888013553222884
C5-e003Coalescence-mBHI-p7,3.359048717403231e-05
D10-e003Coalescence-mBHI-p7,0.00010326042877351848
C9-e003Coalescence-mBHI-p7,0.0005771050974008621
C10-e003Coalescence-mGAM-p5,4.3785020026053686e-05
AG-Fecal,1.069394277970649e-05
D4-e003Coalescence-Inoculumn-mGAM,5.1644682979714046e-05
G2-e004Assembly-epsilon-p5,5.413542308141243e-05
C10-e003Coalescence-mBHI-p5,5.964799360795455e-05
BK-Fecal,6.542030723838089e-05
F2-e004Assembly-epsilon-p5,6.527509971866035e-05
B2-e004Assembly-mBHI-p7,1.1522600727801603e-05
C8-e003Coalescence-mBHI-p5,5.555257067493332e-05
B4-e003Coalescence-Inoculumn-mBHI,0.00037121280083151666
C5-e003Coalescence-Inoculumn-mGAM,8.762498910056815e-05
C4-e003Coalescence-mBHI-p5,8.281528207588224e-05
B2-e004Assembly-mBHI-p3,1.7988320396986988e-05
e004-inoculumn-fecal-BE,6.407562842063602e-05
B2-e004Assembly-mBHI-p5,1.8270901843533997e-05
A4-e003Coalescence-Inoculumn-mGAM,0.00010543794681114453
C10-e003Coalescence-mGAM-p7,6.744683488318467e-05
G5-e003Coalescence-mBHI-p7_S124,0.00013082315229995313
G4-e003Coalescence-mBHI-p5_S27,5.6625563169636475e-05
G111-e003Coalescence-mBHI-p5_S32,9.349959096348715e-05
E100-e003Coalescence-mBHI-p7_S103,5.2525178493993196e-05
E100-e003Coalescence-mGAM-p3_S155,2.5818599269894913e-05
H100-e003Coalescence-mBHI-p5_S43,9.096697898662786e-05
G3-e003Coalescence-mBHI-p3_S34,0.0004860676432944317
G100-e003Coalescence-mBHI-p5_S31,5.591064412223055e-05
G3-e003Coalescence-mBHI-p5_S26,0.00046225714397404323
G5-e003Coalescence-mBHI-p5_S28,5.551358220137162e-05
G4-e003Coalescence-mBHI-p3_S35,3.0542579576405586e-05
E8-e003Coalescence-mGAM-p3_S153,3.886732962798124e-05
E100-e003Coalescence-mBHI-p5_S7,1.7607176349705353e-05
G8-e003Coalescence-mBHI-p3_S129,3.1044905859308066e-05
G2-e003Coalescence-mGAM-p5_S73,0.0017639229514496493
G4-e003Coalescence-mGAM-p7_S171,2.7102511183173677e-05
G4-e003Coalescence-mBHI-p7_S123,3.3164619489549125e-05
H4-e003Coalescence-mBHI-p7_S135,2.325425812298068e-05
G111-e003Coalescence-mBHI-p7_S128,7.845630457278513e-05
H4-e003Coalescence-mBHI-p3_S47,3.08439663147332e-05
G100-e003Coalescence-mGAM-p5_S79,3.225448894170206e-05
E4-e003Coalescence-mGAM-p7_S147,0.0016469480499520315
H4-e003Coalescence-mBHI-p5_S39,2.419491422902906e-05
F4-e003Coalescence-mGAM-p3_S71,0.0006458467884747599
H100-e003Coalescence-mBHI-p7_S139,9.32022611139821e-05
G8-e003Coalescence-mBHI-p5_S29,3.842080255933773e-05
G8-e003Coalescence-mGAM-p7_S173,0.00011114163296107201
F4-e003Coalescence-mGAM-p7_S159,0.00022029685052910993
G2-e003Coalescence-mGAM-p3_S81,0.0021613252825514787
G100-e003Coalescence-mBHI-p7_S127,4.8489018334835226e-05
