,s1,s2,fixed_diffs,Species,Strain Shift
0,A2-e003Coalescence-Inoculumn-mBHI,C9-e003Coalescence-mGAM-p3,22011,100120,True
1,A2-e003Coalescence-Inoculumn-mBHI,B2-e003Coalescence-mBHI-p3,0,100120,False
2,A2-e003Coalescence-Inoculumn-mBHI,A8-e003Coalescence-mBHI-p3,0,100120,False
3,A2-e003Coalescence-Inoculumn-mBHI,A4-e003Coalescence-mBHI-p7,0,100120,False
4,A2-e003Coalescence-Inoculumn-mBHI,A3-e003Coalescence-mBHI-p7,22528,100120,True
5,A2-e003Coalescence-Inoculumn-mBHI,B9-e003Coalescence-mGAM-p5,22482,100120,True
6,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-mBHI-p3,22419,100120,True
7,A2-e003Coalescence-Inoculumn-mBHI,D4-e003Coalescence-mBHI-p5,22544,100120,True
8,A2-e003Coalescence-Inoculumn-mBHI,C2-e003Coalescence-mBHI-p5,0,100120,False
9,A2-e003Coalescence-Inoculumn-mBHI,B3-e004Assembly-mBHI-p7,22336,100120,True
10,A2-e003Coalescence-Inoculumn-mBHI,D4-e003Coalescence-mBHI-p3,20856,100120,True
11,A2-e003Coalescence-Inoculumn-mBHI,C4-e003GlycerolRevival-mBHI-p2,22001,100120,True
12,A2-e003Coalescence-Inoculumn-mBHI,C3-e004Assembly-mBHI-p5,22174,100120,True
13,A2-e003Coalescence-Inoculumn-mBHI,B2-e003Coalescence-mBHI-p5,0,100120,False
14,A2-e003Coalescence-Inoculumn-mBHI,B12-e003Coalescence-mBHI-p3,22132,100120,True
15,A2-e003Coalescence-Inoculumn-mBHI,C8-e003Assembly-mGAM-p3,18818,100120,True
16,A2-e003Coalescence-Inoculumn-mBHI,C3-e003Coalescence-mGAM-p3,22472,100120,True
17,A2-e003Coalescence-Inoculumn-mBHI,D3-e003Coalescence-Inoculumn-mBHI,13636,100120,True
18,A2-e003Coalescence-Inoculumn-mBHI,B8-e003Coalescence-mBHI-p5,0,100120,False
19,A2-e003Coalescence-Inoculumn-mBHI,C2-e003Coalescence-mGAM-p7,0,100120,False
20,A2-e003Coalescence-Inoculumn-mBHI,D3-e003Coalescence-mBHI-p5,22605,100120,True
21,A2-e003Coalescence-Inoculumn-mBHI,B11-e003Coalescence-mGAM-p3,22566,100120,True
22,A2-e003Coalescence-Inoculumn-mBHI,B5-e003Assembly-mBHI-p5,21520,100120,True
23,A2-e003Coalescence-Inoculumn-mBHI,D2-e003Coalescence-mBHI-p5,19116,100120,True
24,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-mGAM-p5,21940,100120,True
25,A2-e003Coalescence-Inoculumn-mBHI,B5-e003Coalescence-mBHI-p5,22646,100120,True
26,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-mBHI-p7,22916,100120,True
27,A2-e003Coalescence-Inoculumn-mBHI,C9-e003Coalescence-mBHI-p5,22387,100120,True
28,A2-e003Coalescence-Inoculumn-mBHI,A5-e003Coalescence-mGAM-p3,11042,100120,True
29,A2-e003Coalescence-Inoculumn-mBHI,C2-e003Coalescence-mBHI-p3,0,100120,False
30,A2-e003Coalescence-Inoculumn-mBHI,D9-e003Coalescence-mGAM-p7,22380,100120,True
31,A2-e003Coalescence-Inoculumn-mBHI,D4-e003Coalescence-mBHI-p7,22392,100120,True
32,A2-e003Coalescence-Inoculumn-mBHI,D8-e003Assembly-mGAM-p3,20853,100120,True
33,A2-e003Coalescence-Inoculumn-mBHI,B10-e003Coalescence-mGAM-p3,22628,100120,True
34,A2-e003Coalescence-Inoculumn-mBHI,A9-e003Coalescence-mGAM-p7,3,100120,False
35,A2-e003Coalescence-Inoculumn-mBHI,B5-e003Coalescence-Inoculumn-mGAM,21246,100120,True
36,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-mBHI-p3,20181,100120,True
37,A2-e003Coalescence-Inoculumn-mBHI,C5-e003Coalescence-mBHI-p3,16832,100120,True
38,A2-e003Coalescence-Inoculumn-mBHI,C9-e003Coalescence-mBHI-p3,22465,100120,True
39,A2-e003Coalescence-Inoculumn-mBHI,C8-e003Coalescence-mBHI-p7,0,100120,False
40,A2-e003Coalescence-Inoculumn-mBHI,B4-e003Coalescence-mGAM-p5,22191,100120,True
41,A2-e003Coalescence-Inoculumn-mBHI,D4-e003Coalescence-mGAM-p5,22558,100120,True
42,A2-e003Coalescence-Inoculumn-mBHI,C3-e004Assembly-mBHI-p7,22041,100120,True
43,A2-e003Coalescence-Inoculumn-mBHI,B5-e003Coalescence-Inoculumn-mBHI,13618,100120,True
44,A2-e003Coalescence-Inoculumn-mBHI,C2-e003Coalescence-mGAM-p3,1,100120,False
45,A2-e003Coalescence-Inoculumn-mBHI,D8-e003Coalescence-mBHI-p5,0,100120,False
46,A2-e003Coalescence-Inoculumn-mBHI,B10-e003Coalescence-mBHI-p5,22435,100120,True
47,A2-e003Coalescence-Inoculumn-mBHI,B3-e004Assembly-mBHI-p5,21706,100120,True
