,C4-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
C5-e003Coalescence-mBHI-inoculumn-redo,0.681,0.31699999999999995
C5-e003Coalescence-mBHI-p3,0.0,1.0
C5-e003Coalescence-mBHI-p5,0.0,1.0
C5-e003Coalescence-mBHI-p7,0.0,1.0
C5-e003Coalescence-mGAM-p3,0.103,0.908
C5-e003Coalescence-mGAM-p7,0.175,0.848
D4-e003Coalescence-Inoculumn-mBHI,0.7130000000000001,0.282
D4-e003Coalescence-mBHI-p3,0.0,1.0
D4-e003Coalescence-mBHI-p5,0.0,1.0
D4-e003Coalescence-mBHI-p7,0.0,1.0
D4-e003Coalescence-mGAM-p3,0.045,1.0
D4-e003Coalescence-mGAM-p5,0.041,1.0
D4-e003Coalescence-mGAM-p7,0.0,1.0
