,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
B10-e003Coalescence-mBHI-p5,0.69,0.483
B10-e003Coalescence-mGAM-p7,0.0,1.0
B4-e003Coalescence-Inoculumn-mGAM,0.707,0.518
C3-e003Coalescence-Inoculumn-mGAM,0.71,0.508
C9-e003Coalescence-mBHI-p3,0.5589999999999999,0.57
C9-e003Coalescence-mBHI-p5,0.603,0.469
C9-e003Coalescence-mBHI-p7,0.21099999999999997,0.844
C9-e003Coalescence-mGAM-p3,0.474,0.752
C9-e003Coalescence-mGAM-p5,0.6579999999999999,0.794
C9-e003Coalescence-mGAM-p7,0.15300000000000002,0.989
