,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B5-e003Coalescence-Inoculumn-mBHI,0.107,0.852
B5-e003Coalescence-mBHI-p3,0.319,0.6
B5-e003Coalescence-mBHI-p5,0.425,0.444
B5-e003Coalescence-mBHI-p7,0.053,0.878
B5-e003Coalescence-mGAM-p3,0.228,0.75
B5-e003Coalescence-mGAM-p5,0.0,0.962
B5-e003Coalescence-mGAM-p7,0.0,0.919
D3-e003Coalescence-Inoculumn-mBHI,0.108,0.848
D3-e003Coalescence-mBHI-p5,0.341,0.533
D3-e003Coalescence-mBHI-p7,0.028,0.94
D3-e003Coalescence-mGAM-p3,0.0,0.483
D3-e003Coalescence-mGAM-p5,0.0,0.942
