,0.975,0.975
B4-e003Coalescence-Inoculumn-mBHI,0.450625,1.0
B4-e003Coalescence-mBHI-p3,0.6219999999999993,1.0
C3-e003Coalescence-mBHI-inoculumn-redo,0.471,1.0
C3-e003Coalescence-mBHI-p5,0.0,1.0
C3-e003Coalescence-mBHI-p7,0.11989999999999985,1.0
C3-e003Coalescence-mGAM-p7,1.0,0.6081250000000011
F4-e003Coalescence-mBHI-p5_S15,1.0,0.7715999999999995
F4-e003Coalescence-mBHI-p7_S111,1.0,0.7544999999999993
G3-e003Coalescence-mBHI-p3_S34,0.333,1.0
G3-e003Coalescence-mBHI-p5_S26,1.0,0.579
G3-e003Coalescence-mBHI-p7_S122,1.0,1.0
G3-e003Coalescence-mGAM-p5_S74,1.0,1.0
