,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mBHI-inoculumn-redo,0.18308292801556417,0.753050032488629
A3-e003Coalescence-mBHI-p3,0.5330602302204929,0.43720305393112413
A3-e003Coalescence-mBHI-p7,0.0003615434500648508,0.9995996588693957
A3-e003Coalescence-mGAM-p7,0.003963359273670559,0.993337069525666
B2-e003Coalescence-Inoculumn-mBHI,0.21986916342412452,0.7513790610786224
B2-e003Coalescence-mBHI-p3,0.5347803988326848,0.43002794022092267
B2-e003Coalescence-mBHI-p5,0.2925005674448768,0.6892214912280703
B2-e003Coalescence-mBHI-p7,0.039658317120622566,0.640073505523067
B2-e003Coalescence-mGAM-p3,0.0042425421530479885,0.9851731643924626
E3-e003Coalescence-mBHI-p3_S10,0.43762581063553824,0.511657326185835
E3-e003Coalescence-mBHI-p5_S2,0.3926845817120623,0.5730271280051982
E3-e003Coalescence-mGAM-p3_S58,0.0075488002594033725,0.9711928200129956
E3-e003Coalescence-mGAM-p5_S50,0.0029677367055771734,0.9883252923976609
E3-e003Coalescence-mGAM-p7_S146,0.0008666504539559017,0.9849482618583496
F2-e003Coalescence-mBHI-p3_S21,0.5702472438391699,0.37454938271604943
F2-e003Coalescence-mBHI-p5_S13,0.2888163910505837,0.6802609649122807
F2-e003Coalescence-mGAM-p3_S69,0.0024306906614785994,0.9839961013645223
F2-e003Coalescence-mGAM-p5_S61,0.0006568579766536967,0.9856723521767381
F2-e003Coalescence-mGAM-p7_S157,0.0034234760051880687,0.9823170077972709
