,B3-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
B4-e003Coalescence-Inoculumn-mBHI,0.9381656804733727,0.636
B4-e003Coalescence-mBHI-p3,0.9824023668639053,0.7320000000000001
B4-e003Coalescence-mBHI-p5,0.26331360946745563,0.0
B4-e003Coalescence-mGAM-p5,0.9549053254437869,0.7006666666666667
C3-e003Coalescence-mBHI-inoculumn-redo,0.9210828402366864,0.7143333333333333
C3-e003Coalescence-mBHI-p5,0.9683727810650887,0.7336666666666667
C3-e003Coalescence-mBHI-p7,0.9862781065088756,0.7563333333333334
C3-e003Coalescence-mGAM-p3,0.9826508875739643,0.6566666666666666
C3-e003Coalescence-mGAM-p5,0.9813786982248521,0.6549999999999999
C3-e003Coalescence-mGAM-p7,0.9937692307692307,0.7066666666666667
F4-e003Coalescence-mBHI-p3_S23,0.9903846153846154,0.8313333333333333
F4-e003Coalescence-mBHI-p5_S15,0.9696153846153847,0.7753333333333333
F4-e003Coalescence-mBHI-p7_S111,0.9633668639053256,0.7893333333333333
F4-e003Coalescence-mGAM-p3_S71,0.9775621301775146,0.7789999999999999
F4-e003Coalescence-mGAM-p5_S63,0.947863905325444,0.635
F4-e003Coalescence-mGAM-p7_S159,0.9830591715976331,0.7703333333333333
G3-e003Coalescence-mBHI-p3_S34,0.9889644970414201,0.7456666666666667
G3-e003Coalescence-mBHI-p5_S26,0.9932603550295858,0.7106666666666667
G3-e003Coalescence-mBHI-p7_S122,0.9705088757396451,0.7399999999999999
G3-e003Coalescence-mGAM-p3_S82,0.965680473372781,0.38899999999999996
G3-e003Coalescence-mGAM-p5_S74,0.9839704142011834,0.7403333333333334
