,0.025,0.025
B3-e003Coalescence-Inoculumn-mGAM,0.951,0.0
C4-e003Coalescence-Inoculumn-mGAM,0.0,1.0
B10-e003Coalescence-mBHI-p3,0.945,0.0
B10-e003Coalescence-mBHI-p5,0.978,0.0
B10-e003Coalescence-mGAM-p3,0.0,0.52
B10-e003Coalescence-mGAM-p7,0.15040000000000214,0.0
B4-e003Coalescence-Inoculumn-mGAM,0.364,0.22
C3-e003Coalescence-Inoculumn-mGAM,0.317,0.18200000000000002
C9-e003Coalescence-mBHI-p3,0.92,0.0
C9-e003Coalescence-mBHI-p5,0.975,0.0
C9-e003Coalescence-mBHI-p7,1.0,0.0
C9-e003Coalescence-mGAM-p3,0.0,0.654
C9-e003Coalescence-mGAM-p5,0.15200000000000002,0.453
C9-e003Coalescence-mGAM-p7,0.114,0.592925
F100-e003Coalescence-mBHI-p7_S115,0.905,0.0
F100-e003Coalescence-mGAM-p3_S167,0.0,0.667
F100-e003Coalescence-mGAM-p5_S67,0.0,0.0
F100-e003Coalescence-mGAM-p7_S163,0.167,0.422
G9-e003Coalescence-mBHI-p3_S130,0.931,0.0
G9-e003Coalescence-mBHI-p5_S30,1.0,0.0
G9-e003Coalescence-mGAM-p3_S178,0.0,0.814
G9-e003Coalescence-mGAM-p5_S78,0.0,0.636
G9-e003Coalescence-mGAM-p7_S174,0.0,0.788
