,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
B11-e003Coalescence-mBHI-p3,0.8845494505494506,0.9406062499999999
B11-e003Coalescence-mGAM-p3,0.8901714836223507,0.9307775445960127
B11-e003Coalescence-mGAM-p7,0.8817105263157894,1.0
B5-e003Coalescence-Inoculumn-mGAM,0.8814059405940593,0.8822720588235294
D3-e003Coalescence-Inoculumn-mGAM,0.8165499999999999,0.8969656652360515
D9-e003Coalescence-mBHI-p3,0.9387142857142857,1.0
D9-e003Coalescence-mBHI-p5,0.8020564971751413,0.9547665505226481
D9-e003Coalescence-mBHI-p7,0.8141946902654867,0.9231318681318681
D9-e003Coalescence-mGAM-p3,0.8557628865979382,0.9255450980392156
D9-e003Coalescence-mGAM-p5,0.8552307692307692,0.9470240770465489
D9-e003Coalescence-mGAM-p7,0.9181639344262296,0.9340431034482759
F111-e003Coalescence-mBHI-p3_S120,0.96,0.9545454545454546
F111-e003Coalescence-mBHI-p5_S20,0.9411764705882353,1.0
F111-e003Coalescence-mBHI-p7_S116,1.0,0.9803157894736841
F111-e003Coalescence-mGAM-p3_S168,0.9263360655737706,0.9565217391304348
F111-e003Coalescence-mGAM-p5_S68,0.9523999999999999,0.9280575539568345
F111-e003Coalescence-mGAM-p7_S164,1.0,0.9448818897637795
H9-e003Coalescence-mBHI-p5_S42,0.918377358490566,0.9336782334384857
H9-e003Coalescence-mBHI-p7_S138,0.9499599999999999,0.9662921348314607
H9-e003Coalescence-mGAM-p3_S190,0.878909090909091,0.9091818181818181
H9-e003Coalescence-mGAM-p5_S90,0.9391219512195124,0.953125
H9-e003Coalescence-mGAM-p7_S186,0.8664133333333333,0.9140858895705523
