,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
A10-e003Coalescence-mBHI-p3,0.4821501014198783,
A10-e003Coalescence-mBHI-p5,0.16713995943204868,
A10-e003Coalescence-mBHI-p7,0.08296146044624747,
A10-e003Coalescence-mGAM-p3,0.655578093306288,
A10-e003Coalescence-mGAM-p7,0.9612576064908722,
A4-e003Coalescence-Inoculumn-mGAM,0.177079107505071,
C2-e003Coalescence-Inoculumn-mGAM,0.6415821501014198,
C8-e003Coalescence-mBHI-p5,0.00973630831643002,
C8-e003Coalescence-mBHI-p7,0.20730223123732253,
C8-e003Coalescence-mGAM-p7,0.6750507099391481,
E100-e003Coalescence-mBHI-p5_S7,0.04503042596348884,
E100-e003Coalescence-mBHI-p7_S103,0.007910750507099391,
E100-e003Coalescence-mGAM-p3_S155,0.24543610547667344,
E100-e003Coalescence-mGAM-p5_S55,0.6111561866125761,
E100-e003Coalescence-mGAM-p7_S151,0.963894523326572,
G8-e003Coalescence-mBHI-p3_S129,0.009127789046653144,
G8-e003Coalescence-mBHI-p5_S29,0.005679513184584178,
G8-e003Coalescence-mBHI-p7_S125,0.011359026369168357,
G8-e003Coalescence-mGAM-p3_S177,0.38255578093306286,
G8-e003Coalescence-mGAM-p5_S77,0.5612576064908722,
G8-e003Coalescence-mGAM-p7_S173,0.5813387423935091,
A10-e003Coalescence-mBHI-p3,,0.016823246668123223
A10-e003Coalescence-mBHI-p5,,0.05855363775398733
A10-e003Coalescence-mBHI-p7,,0.08793969849246232
A10-e003Coalescence-mGAM-p3,,0.0010924186148131964
A10-e003Coalescence-mGAM-p7,,0.0
A4-e003Coalescence-Inoculumn-mGAM,,0.0
C2-e003Coalescence-Inoculumn-mGAM,,0.0
C8-e003Coalescence-mBHI-p5,,0.0
C8-e003Coalescence-mBHI-p7,,0.00622678610443522
C8-e003Coalescence-mGAM-p7,,0.0005462093074065982
E100-e003Coalescence-mBHI-p5_S7,,0.00010924186148131964
E100-e003Coalescence-mBHI-p7_S103,,0.40408564561940136
E100-e003Coalescence-mGAM-p3_S155,,0.09930085208651955
E100-e003Coalescence-mGAM-p5_S55,,0.01201660476294516
E100-e003Coalescence-mGAM-p7_S151,,0.0
G8-e003Coalescence-mBHI-p3_S129,,0.0
G8-e003Coalescence-mBHI-p5_S29,,0.005462093074065982
G8-e003Coalescence-mBHI-p7_S125,,0.05188988420362683
G8-e003Coalescence-mGAM-p3_S177,,0.12333406161240988
G8-e003Coalescence-mGAM-p5_S77,,0.013327507100720996
G8-e003Coalescence-mGAM-p7_S173,,0.0
