,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C11-e003Coalescence-mBHI-p3,200079.0,116623.0
C11-e003Coalescence-mBHI-p5,635324.0,368654.0
C11-e003Coalescence-mGAM-p3,730419.0,406881.0
C11-e003Coalescence-mGAM-p5,223722.0,122761.0
C11-e003Coalescence-mGAM-p7,148650.0,80503.0
C5-e003Coalescence-Inoculumn-mGAM,407211.0,233953.0
D10-e003Coalescence-mBHI-p3,251266.0,145598.0
D10-e003Coalescence-mBHI-p5,159179.0,91038.0
D10-e003Coalescence-mBHI-p7,237088.0,137818.0
D10-e003Coalescence-mGAM-p3,60538.0,33944.0
D10-e003Coalescence-mGAM-p5,448476.0,249755.0
D10-e003Coalescence-mGAM-p7,315773.0,175340.0
D4-e003Coalescence-Inoculumn-mGAM,145499.0,82774.0
G111-e003Coalescence-mBHI-p5_S32,610149.0,355457.0
G111-e003Coalescence-mBHI-p7_S128,244258.0,144443.0
G111-e003Coalescence-mGAM-p3_S180,202931.0,111532.0
G111-e003Coalescence-mGAM-p5_S80,213196.0,114921.0
H100-e003Coalescence-mBHI-p5_S43,429173.0,246701.0
H100-e003Coalescence-mBHI-p7_S139,551199.0,321918.0
H100-e003Coalescence-mGAM-p5_S91,30238.0,16103.0
H100-e003Coalescence-mGAM-p7_S187,20136.0,10500.0
