,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mBHI-inoculumn-redo,6.0,0.0
A3-e003Coalescence-mBHI-p3,9.0,0.0
A3-e003Coalescence-mGAM-p7,37.0,0.0
B2-e003Coalescence-Inoculumn-mBHI,12.0,0.0
B2-e003Coalescence-mBHI-p3,12.0,0.0
B2-e003Coalescence-mBHI-p5,5.0,0.0
B2-e003Coalescence-mGAM-p3,46.0,0.0
E3-e003Coalescence-mBHI-p3_S10,10.0,0.0
E3-e003Coalescence-mBHI-p5_S2,5.0,0.0
E3-e003Coalescence-mGAM-p3_S58,48.0,0.0
E3-e003Coalescence-mGAM-p5_S50,72.0,0.0
E3-e003Coalescence-mGAM-p7_S146,14.0,0.0
F2-e003Coalescence-mBHI-p3_S21,5.0,0.0
F2-e003Coalescence-mBHI-p5_S13,24.0,0.0
F2-e003Coalescence-mGAM-p3_S69,36.0,0.0
F2-e003Coalescence-mGAM-p5_S61,117.0,0.0
F2-e003Coalescence-mGAM-p7_S157,67.0,0.0
