,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
A3-e003Coalescence-Inoculumn-mGAM,0.5958465987812158,0.3671376914128563
A9-e003Coalescence-mBHI-p3,0.027309211596696102,0.9435693673092405
A9-e003Coalescence-mBHI-p5,0.016039406287214654,0.9742090421641645
A9-e003Coalescence-mBHI-p7,0.0071391946013796784,0.985727997156337
A9-e003Coalescence-mGAM-p5,0.0874522324532931,0.9019781041776216
A9-e003Coalescence-mGAM-p7,0.00984306612127705,0.9892369247791142
B2-e003Coalescence-Inoculumn-mGAM,0.6003911648497925,0.3646343766104067
B8-e003Coalescence-mBHI-p5,0.014326511496597256,0.9747566725033149
B8-e003Coalescence-mBHI-p7,0.0036581628977648546,0.9917318990841543
B8-e003Coalescence-mGAM-p5,0.16784374064140872,0.8158165166017853
B8-e003Coalescence-mGAM-p7,0.10096956933999957,0.887250137691199
E9-e003Coalescence-mBHI-p5_S6,0.001520829129752872,0.9959537607826746
E9-e003Coalescence-mBHI-p7_S102,0.038811548500565715,0.940504997304927
E9-e003Coalescence-mGAM-p3_S154,0.3637468890874726,0.5971769022356004
E9-e003Coalescence-mGAM-p5_S54,0.2388872895335134,0.7258604373289623
E9-e003Coalescence-mGAM-p7_S150,0.019210659360373143,0.9723675838599902
F8-e003Coalescence-mBHI-p3_S117,0.03669638654019052,0.9151820176153971
F8-e003Coalescence-mBHI-p5_S17,0.0032224837591860265,0.9903178193618425
F8-e003Coalescence-mBHI-p7_S113,0.0030577150280297594,0.9909844518232918
F8-e003Coalescence-mGAM-p3_S165,0.21639378400476444,0.6592999339092669
F8-e003Coalescence-mGAM-p5_S65,0.26522584960405954,0.6946189315583552
F8-e003Coalescence-mGAM-p7_S161,0.23475962410152612,0.7266306457049895
