,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,719605.0,43576.0
A5-e003Coalescence-mBHI-inoculumn-redo,1407498.0,85740.0
A5-e003Coalescence-mBHI-p3,86263.0,5311.0
A5-e003Coalescence-mBHI-p7,446615.0,26541.0
A5-e003Coalescence-mGAM-p3,947239.0,57779.0
D2-e003Coalescence-Inoculumn-mBHI,1247005.0,75172.0
D2-e003Coalescence-mBHI-p3,907673.0,55605.0
D2-e003Coalescence-mBHI-p5,290262.0,17980.0
D2-e003Coalescence-mBHI-p7,8155.0,684.0
D2-e003Coalescence-mGAM-p5,5416984.0,330640.0
E5-e003Coalescence-mBHI-p3_S12,523059.0,31396.0
E5-e003Coalescence-mBHI-p5_S4,425226.0,25709.0
E5-e003Coalescence-mBHI-p7_S100,798494.0,49111.0
E5-e003Coalescence-mGAM-p3_S60,753167.0,45691.0
E5-e003Coalescence-mGAM-p5_S52,924275.0,56892.0
E5-e003Coalescence-mGAM-p7_S148,3544047.0,212891.0
H2-e003Coalescence-mBHI-p3_S45,715772.0,43475.0
H2-e003Coalescence-mBHI-p7_S133,405031.0,24398.0
H2-e003Coalescence-mGAM-p3_S93,1269010.0,80760.0
H2-e003Coalescence-mGAM-p5_S85,706093.0,41320.0
H2-e003Coalescence-mGAM-p7_S181,7116733.0,427129.0
