,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
A11-e003Coalescence-mBHI-p3,2773637.0,2700899.0
A11-e003Coalescence-mBHI-p5,514112.0,508271.0
A11-e003Coalescence-mBHI-p7,284112.0,276596.0
A11-e003Coalescence-mGAM-p3,967242.0,931587.0
A11-e003Coalescence-mGAM-p7,1513236.0,1409111.0
A5-e003Coalescence-Inoculumn-mGAM,1889078.0,1962253.0
D2-e003Coalescence-Inoculumn-mGAM,1766242.0,1852961.0
D8-e003Coalescence-mBHI-p5,882586.0,868967.0
D8-e003Coalescence-mGAM-p5,1012272.0,951519.0
E111-e003Coalescence-mBHI-p3_S108,522953.0,519918.0
E111-e003Coalescence-mBHI-p5_S8,674131.0,650344.0
E111-e003Coalescence-mBHI-p7_S104,2796776.0,2776009.0
E111-e003Coalescence-mGAM-p5_S56,667847.0,619048.0
H8-e003Coalescence-mBHI-p5_S41,1154984.0,1097926.0
H8-e003Coalescence-mBHI-p7_S137,1827747.0,1848865.0
H8-e003Coalescence-mGAM-p5_S89,996323.0,923358.0
H8-e003Coalescence-mGAM-p7_S185,1954363.0,1810395.0
