,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
A10-e003Coalescence-mGAM-p3,3350,2409
A10-e003Coalescence-mGAM-p7,3273,2306
A4-e003Coalescence-Inoculumn-mGAM,3345,2409
C2-e003Coalescence-Inoculumn-mGAM,3204,2313
C8-e003Coalescence-mBHI-p5,2558,1794
C8-e003Coalescence-mGAM-p7,3342,2398
E100-e003Coalescence-mGAM-p3_S155,3329,2370
E100-e003Coalescence-mGAM-p5_S55,3219,2226
E100-e003Coalescence-mGAM-p7_S151,3197,2215
G8-e003Coalescence-mGAM-p3_S177,3341,2363
G8-e003Coalescence-mGAM-p5_S77,3337,2377
G8-e003Coalescence-mGAM-p7_S173,3355,2402
