,0.025,0.025
A10-e003Coalescence-mGAM-p3,0.0,1.0
A10-e003Coalescence-mGAM-p7,0.0,1.0
A4-e003Coalescence-Inoculumn-mGAM,0.167,0.29519999999999996
C2-e003Coalescence-Inoculumn-mGAM,0.0,0.0
C8-e003Coalescence-mBHI-p5,0.0,0.0
C8-e003Coalescence-mGAM-p7,0.0,1.0
E100-e003Coalescence-mGAM-p3_S155,0.0,1.0
E100-e003Coalescence-mGAM-p5_S55,0.0,1.0
E100-e003Coalescence-mGAM-p7_S151,0.0,1.0
G8-e003Coalescence-mGAM-p3_S177,0.0,1.0
G8-e003Coalescence-mGAM-p5_S77,0.0,1.0
G8-e003Coalescence-mGAM-p7_S173,0.0,1.0
