,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
A11-e003Coalescence-mBHI-p3,0.945051642238342,0.048793268699994605
A11-e003Coalescence-mGAM-p3,0.008245814804592536,0.9906121675990887
A11-e003Coalescence-mGAM-p7,0.02885919906219319,0.9710548376960558
A5-e003Coalescence-Inoculumn-mGAM,0.343,0.636
D2-e003Coalescence-Inoculumn-mGAM,0.324,0.647
D8-e003Coalescence-mGAM-p5,0.026569504169547727,0.909
E111-e003Coalescence-mBHI-p7_S104,0.9934085511843846,0.004049530339901648
E111-e003Coalescence-mGAM-p5_S56,0.009323724933658373,0.987148899025985
H8-e003Coalescence-mBHI-p5_S41,0.9731215029194762,0.023486788409254947
H8-e003Coalescence-mBHI-p7_S137,0.9823663227119438,0.011717122774497787
H8-e003Coalescence-mGAM-p5_S89,0.032174843929934485,0.897
H8-e003Coalescence-mGAM-p7_S185,0.136,0.848
