,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B5-e003Coalescence-Inoculumn-mBHI,0.1643959731543624,0.8633905429071803
B5-e003Coalescence-mGAM-p3,0.10976840390879478,0.8724732075471698
B5-e003Coalescence-mGAM-p5,0.002516096579476861,0.9943668546365916
B5-e003Coalescence-mGAM-p7,0.0,1.0
D3-e003Coalescence-Inoculumn-mBHI,0.1525541650371529,0.8280015220700152
D3-e003Coalescence-mGAM-p3,0.2785427720628046,0.6766151551312649
D3-e003Coalescence-mGAM-p5,0.0642905583935177,0.9369975802209364
F5-e003Coalescence-mGAM-p3_S72,0.07867112970711297,0.9163879957127545
F5-e003Coalescence-mGAM-p5_S64,0.0009828150572831424,0.9983480977761441
F5-e003Coalescence-mGAM-p7_S160,0.009226145210936086,0.9922988986784141
H3-e003Coalescence-mGAM-p3_S94,0.0718453059673128,0.9177439252336448
H3-e003Coalescence-mGAM-p5_S86,0.006324450366422384,0.9954132925897633
H3-e003Coalescence-mGAM-p7_S182,0.0,1.0
