,A2-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,0.407,0.8465
A4-e003Coalescence-mBHI-p5,0.27,0.9854282696944694
A4-e003Coalescence-mBHI-p7,0.07810281894906451,0.9854108238062338
A4-e003Coalescence-mGAM-p5,0.17700000000000002,0.463
C2-e003Coalescence-mBHI-inoculumn-redo,0.39,0.848
C2-e003Coalescence-mBHI-p3,0.03435918628332885,0.975685657040007
C2-e003Coalescence-mBHI-p5,0.126434076812246,0.8895381574494031
C2-e003Coalescence-mGAM-p3,0.1325,0.9972193305241221
C2-e003Coalescence-mGAM-p5,0.06000000000000005,0.9995751299496513
C2-e003Coalescence-mGAM-p7,0.028000000000000025,0.9998809824932283
E4-e003Coalescence-mBHI-p3_S11,0.375,0.8178814578480965
E4-e003Coalescence-mBHI-p5_S3,0.267,0.9891167205995753
E4-e003Coalescence-mBHI-p7_S99,0.28600000000000003,0.9978101963528765
E4-e003Coalescence-mGAM-p3_S59,0.121,0.9989520668047291
E4-e003Coalescence-mGAM-p5_S51,0.23299999999999998,0.9989267890868869
E4-e003Coalescence-mGAM-p7_S147,0.30900000000000005,0.9997874711180224
G2-e003Coalescence-mBHI-p3_S33,0.2070347472093217,0.8340647481925232
G2-e003Coalescence-mBHI-p5_S25,0.0651932073440513,0.9484805822314404
G2-e003Coalescence-mGAM-p3_S81,0.271,0.999454882165214
G2-e003Coalescence-mGAM-p5_S73,0.234,0.9995031973031324
