,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
A10-e003Coalescence-mBHI-p3,748.0,312.0
A10-e003Coalescence-mBHI-p5,1706.0,858.0
A10-e003Coalescence-mBHI-p7,2475.0,1347.0
A10-e003Coalescence-mGAM-p3,15361.0,7945.0
A10-e003Coalescence-mGAM-p7,5352.0,2788.0
A4-e003Coalescence-Inoculumn-mGAM,82391.0,43020.0
C2-e003Coalescence-Inoculumn-mGAM,36034.0,18983.0
C8-e003Coalescence-mBHI-p5,11004.0,5679.0
C8-e003Coalescence-mBHI-p7,2224.0,1062.0
C8-e003Coalescence-mGAM-p7,62750.0,32263.0
E100-e003Coalescence-mBHI-p5_S7,4622.0,2284.0
E100-e003Coalescence-mBHI-p7_S103,7005.0,3804.0
E100-e003Coalescence-mGAM-p3_S155,9054.0,4589.0
E100-e003Coalescence-mGAM-p5_S55,8129.0,4379.0
E100-e003Coalescence-mGAM-p7_S151,15730.0,8447.0
G8-e003Coalescence-mBHI-p3_S129,7180.0,3760.0
G8-e003Coalescence-mBHI-p5_S29,8750.0,4778.0
G8-e003Coalescence-mBHI-p7_S125,3358.0,2007.0
G8-e003Coalescence-mGAM-p3_S177,15026.0,7636.0
G8-e003Coalescence-mGAM-p5_S77,51407.0,28295.0
G8-e003Coalescence-mGAM-p7_S173,85523.0,45355.0
