,0.975,0.975
A10-e003Coalescence-mBHI-p5,1.0,1.0
A10-e003Coalescence-mBHI-p7,1.0,1.0
A10-e003Coalescence-mGAM-p3,0.86,0.7319499999999998
A10-e003Coalescence-mGAM-p7,1.0,0.476
A4-e003Coalescence-Inoculumn-mGAM,0.959,0.2829000000000001
C2-e003Coalescence-Inoculumn-mGAM,0.98,0.282
C8-e003Coalescence-mBHI-p5,1.0,0.636
C8-e003Coalescence-mBHI-p7,1.0,1.0
C8-e003Coalescence-mGAM-p7,0.905,0.4109000000000001
E100-e003Coalescence-mBHI-p5_S7,1.0,0.667
E100-e003Coalescence-mBHI-p7_S103,1.0,0.636
E100-e003Coalescence-mGAM-p3_S155,0.8252249999999994,0.875
E100-e003Coalescence-mGAM-p5_S55,1.0,0.42900000000000005
E100-e003Coalescence-mGAM-p7_S151,1.0,0.25
G8-e003Coalescence-mBHI-p3_S129,1.0,0.667
G8-e003Coalescence-mBHI-p5_S29,1.0,0.5424499999999998
G8-e003Coalescence-mBHI-p7_S125,1.0,1.0
G8-e003Coalescence-mGAM-p3_S177,0.884,0.62125
G8-e003Coalescence-mGAM-p5_S77,1.0,0.08799999999999997
G8-e003Coalescence-mGAM-p7_S173,0.981,0.11199999999999999
