,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,0.46331409727947237,0.02857142857142857
A5-e003Coalescence-mBHI-inoculumn-redo,0.23619126133553173,0.005945499587118084
A5-e003Coalescence-mBHI-p3,0.45012366034624895,0.006165703275529865
A5-e003Coalescence-mBHI-p7,0.325638911788953,0.0002752546105147261
A5-e003Coalescence-mGAM-p3,0.9237427864798021,0.0
D2-e003Coalescence-Inoculumn-mBHI,0.34047815333882936,0.012716763005780347
D2-e003Coalescence-mBHI-p3,0.5601813685078318,5.5050922102945225e-05
D2-e003Coalescence-mBHI-p5,0.7044517724649629,0.0032480044040737685
D2-e003Coalescence-mGAM-p5,0.9262159934047816,0.0
E5-e003Coalescence-mBHI-p3_S12,0.5638911788953009,0.0024222405725295897
E5-e003Coalescence-mBHI-p5_S4,0.6562242374278648,0.0013762730525736307
E5-e003Coalescence-mBHI-p7_S100,0.42868920032976093,0.000990916597853014
E5-e003Coalescence-mGAM-p3_S60,0.9171475680131904,0.0
E5-e003Coalescence-mGAM-p5_S52,0.9192085737840066,0.0
E5-e003Coalescence-mGAM-p7_S148,0.8920032976092334,0.0
H2-e003Coalescence-mBHI-p3_S45,0.4105523495465787,0.0039086154693091105
H2-e003Coalescence-mBHI-p7_S133,0.2980214344600165,0.0007156619873382879
H2-e003Coalescence-mGAM-p3_S93,0.9014839241549877,0.0
H2-e003Coalescence-mGAM-p5_S85,0.8920032976092334,0.0
H2-e003Coalescence-mGAM-p7_S181,0.9010717230008244,0.0
