,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,0.06897140282273496,0.9132222524529987
A5-e003Coalescence-mBHI-inoculumn-redo,0.241,0.722
A5-e003Coalescence-mBHI-p3,0.06937033848112877,0.92235084030754
A5-e003Coalescence-mBHI-p7,0.158,0.81
A5-e003Coalescence-mGAM-p3,0.0004485277489942394,0.9998631012349455
D2-e003Coalescence-Inoculumn-mBHI,0.23099999999999998,0.72
D2-e003Coalescence-mBHI-p3,0.023168755071362807,0.9769579831400708
D2-e003Coalescence-mBHI-p5,0.03069961445349302,0.970528529597236
D2-e003Coalescence-mGAM-p5,0.00046422270788987484,0.9998858428925019
E5-e003Coalescence-mBHI-p3_S12,0.03642049356655681,0.87
E5-e003Coalescence-mBHI-p5_S4,0.021104010878666986,0.975811672712101
E5-e003Coalescence-mBHI-p7_S100,0.06,0.912
E5-e003Coalescence-mGAM-p3_S60,0.0005778848639973929,0.9997442488792737
E5-e003Coalescence-mGAM-p5_S52,0.000353830372544283,0.9998264504066449
E5-e003Coalescence-mGAM-p7_S148,0.00035702043201942083,0.9997063472643019
H2-e003Coalescence-mBHI-p3_S45,0.16,0.789
H2-e003Coalescence-mBHI-p7_S133,0.17,0.78
H2-e003Coalescence-mGAM-p3_S93,0.0005692422903242103,0.9996743108701929
H2-e003Coalescence-mGAM-p5_S85,0.0060767066161377175,0.9951128246764076
H2-e003Coalescence-mGAM-p7_S181,0.00011878805607836479,0.999921326705109
