,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,0.13941797197032152,0.5844381502890174
A5-e003Coalescence-mBHI-inoculumn-redo,0.23305935696619953,0.7080062758051198
A5-e003Coalescence-mBHI-p3,0.03420610057708162,0.4335297550233966
A5-e003Coalescence-mBHI-p7,0.15799093157460842,0.7926098541150565
A5-e003Coalescence-mGAM-p3,0.020799258037922506,0.9957575006881366
D2-e003Coalescence-Inoculumn-mBHI,0.2174810387469085,0.6916886870355079
D2-e003Coalescence-mBHI-p3,0.08261788953009068,0.89518926507019
D2-e003Coalescence-mBHI-p5,0.06405028854080792,0.7951493531516652
D2-e003Coalescence-mGAM-p5,0.021354492992580378,0.9953828241123039
E5-e003Coalescence-mBHI-p3_S12,0.1129113767518549,0.8049044315992293
E5-e003Coalescence-mBHI-p5_S4,0.07532440230832646,0.8640881915772091
E5-e003Coalescence-mBHI-p7_S100,0.08554410552349548,0.8755095513349848
E5-e003Coalescence-mGAM-p3_S60,0.01900535861500412,0.9900622075419763
E5-e003Coalescence-mGAM-p5_S52,0.019370568837592746,0.990772199284338
E5-e003Coalescence-mGAM-p7_S148,0.02285408079142622,0.9926543903110376
H2-e003Coalescence-mBHI-p3_S45,0.15902514427040393,0.7586151940545004
H2-e003Coalescence-mBHI-p7_S133,0.17034830997526793,0.7663541425818883
H2-e003Coalescence-mGAM-p3_S93,0.01953668590272053,0.9917735205064684
H2-e003Coalescence-mGAM-p5_S85,0.017068425391591098,0.9072739333883844
H2-e003Coalescence-mGAM-p7_S181,0.021120362737015664,0.9964832920451417
