,B3-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
B4-e003Coalescence-Inoculumn-mBHI,0.0,
B4-e003Coalescence-mBHI-p3,0.3251049882208338,
B4-e003Coalescence-mGAM-p5,0.00850148519922155,
C3-e003Coalescence-mBHI-inoculumn-redo,0.0,
C3-e003Coalescence-mBHI-p5,0.0,
C3-e003Coalescence-mBHI-p7,0.0,
C3-e003Coalescence-mGAM-p3,0.0008194202601659326,
C3-e003Coalescence-mGAM-p5,0.00010242753252074157,
C3-e003Coalescence-mGAM-p7,0.0,
F4-e003Coalescence-mBHI-p3_S23,0.4419748028269999,
F4-e003Coalescence-mBHI-p5_S15,0.010140325719553415,
F4-e003Coalescence-mBHI-p7_S111,0.00973061558947045,
F4-e003Coalescence-mGAM-p3_S71,0.0016388405203318652,
F4-e003Coalescence-mGAM-p5_S63,0.014647137150466045,
F4-e003Coalescence-mGAM-p7_S159,0.009935470654511933,
G3-e003Coalescence-mBHI-p3_S34,0.14268155280139302,
G3-e003Coalescence-mBHI-p5_S26,0.0008194202601659326,
G3-e003Coalescence-mBHI-p7_S122,0.0004097101300829663,
G3-e003Coalescence-mGAM-p3_S82,0.003175253508142989,
G3-e003Coalescence-mGAM-p5_S74,0.000716992727645191,
B4-e003Coalescence-Inoculumn-mBHI,,0.0
B4-e003Coalescence-mBHI-p3,,0.0003732736095558044
B4-e003Coalescence-mGAM-p5,,0.0014930944382232176
C3-e003Coalescence-mBHI-inoculumn-redo,,0.0
C3-e003Coalescence-mBHI-p5,,0.24785367674505412
C3-e003Coalescence-mBHI-p7,,0.04479283314669653
C3-e003Coalescence-mGAM-p3,,0.0
C3-e003Coalescence-mGAM-p5,,0.0003732736095558044
C3-e003Coalescence-mGAM-p7,,0.0
F4-e003Coalescence-mBHI-p3_S23,,0.0011198208286674132
F4-e003Coalescence-mBHI-p5_S15,,0.02463605823068309
F4-e003Coalescence-mBHI-p7_S111,,0.04143337066069429
F4-e003Coalescence-mGAM-p3_S71,,0.0
F4-e003Coalescence-mGAM-p5_S63,,0.03919372900335946
F4-e003Coalescence-mGAM-p7_S159,,0.0
G3-e003Coalescence-mBHI-p3_S34,,0.0026129152668906306
G3-e003Coalescence-mBHI-p5_S26,,0.003732736095558044
G3-e003Coalescence-mBHI-p7_S122,,0.11608809257185516
G3-e003Coalescence-mGAM-p3_S82,,0.0
G3-e003Coalescence-mGAM-p5_S74,,0.0
