,B3-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
B3-e003Coalescence-mBHI-p3,327989.0,80764.0
B3-e003Coalescence-mBHI-p5,65626.0,16529.0
B3-e003Coalescence-mBHI-p7,27899.0,6741.0
B3-e003Coalescence-mGAM-p5,53340.0,13065.0
B4-e003Coalescence-Inoculumn-mBHI,109171.0,26077.0
B4-e003Coalescence-mBHI-p3,36785.0,8642.0
B4-e003Coalescence-mBHI-p5,1998.0,446.0
B4-e003Coalescence-mGAM-p5,72473.0,16952.0
C3-e003Coalescence-mBHI-inoculumn-redo,90403.0,21599.0
C3-e003Coalescence-mBHI-p5,37782.0,9069.0
C3-e003Coalescence-mBHI-p7,63662.0,14983.0
C3-e003Coalescence-mGAM-p3,187117.0,43104.0
C3-e003Coalescence-mGAM-p5,95013.0,22374.0
C3-e003Coalescence-mGAM-p7,418793.0,96818.0
C4-e003Coalescence-mBHI-p5,113382.0,25719.0
C4-e003Coalescence-mGAM-p3,123878.0,28728.0
C4-e003Coalescence-mGAM-p5,62417.0,14450.0
C4-e003Coalescence-mGAM-p7,23539.0,5505.0
F3-e003Coalescence-mBHI-p3_S22,53453.0,13205.0
F3-e003Coalescence-mBHI-p5_S14,37365.0,9119.0
F3-e003Coalescence-mBHI-p7_S110,11004.0,2597.0
F3-e003Coalescence-mGAM-p3_S70,26364.0,6543.0
F3-e003Coalescence-mGAM-p5_S62,46137.0,11645.0
F3-e003Coalescence-mGAM-p7_S158,61681.0,16007.0
F4-e003Coalescence-mBHI-p3_S23,26663.0,6214.0
F4-e003Coalescence-mBHI-p5_S15,46466.0,10717.0
F4-e003Coalescence-mBHI-p7_S111,37579.0,9077.0
F4-e003Coalescence-mGAM-p3_S71,168040.0,38133.0
F4-e003Coalescence-mGAM-p5_S63,25074.0,5634.0
F4-e003Coalescence-mGAM-p7_S159,121965.0,28458.0
G3-e003Coalescence-mBHI-p3_S34,50716.0,11854.0
G3-e003Coalescence-mBHI-p5_S26,113209.0,27276.0
G3-e003Coalescence-mBHI-p7_S122,83996.0,20217.0
G3-e003Coalescence-mGAM-p3_S82,140396.0,32134.0
G3-e003Coalescence-mGAM-p5_S74,125164.0,29218.0
G4-e003Coalescence-mBHI-p3_S35,99468.0,22527.0
G4-e003Coalescence-mBHI-p5_S27,112312.0,25305.0
G4-e003Coalescence-mBHI-p7_S123,64474.0,14385.0
G4-e003Coalescence-mGAM-p3_S83,173462.0,38418.0
G4-e003Coalescence-mGAM-p5_S75,147878.0,34140.0
G4-e003Coalescence-mGAM-p7_S171,25382.0,5659.0
