,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
B10-e003Coalescence-mBHI-p3,28646.0,8737.0
B10-e003Coalescence-mBHI-p5,19784.0,6008.0
B10-e003Coalescence-mGAM-p3,62288.0,18768.0
B10-e003Coalescence-mGAM-p7,35540.0,10489.0
B4-e003Coalescence-Inoculumn-mGAM,63166.0,18996.0
C3-e003Coalescence-Inoculumn-mGAM,43420.0,13268.0
C9-e003Coalescence-mBHI-p3,29204.0,8512.0
C9-e003Coalescence-mBHI-p5,16216.0,4937.0
C9-e003Coalescence-mBHI-p7,11191.0,3367.0
C9-e003Coalescence-mGAM-p3,132752.0,41828.0
C9-e003Coalescence-mGAM-p5,130105.0,38614.0
C9-e003Coalescence-mGAM-p7,234247.0,68782.0
F100-e003Coalescence-mBHI-p7_S115,43988.0,13959.0
F100-e003Coalescence-mGAM-p3_S167,54153.0,17455.0
F100-e003Coalescence-mGAM-p5_S67,14883.0,4656.0
F100-e003Coalescence-mGAM-p7_S163,37215.0,11772.0
G9-e003Coalescence-mBHI-p3_S130,20052.0,5748.0
G9-e003Coalescence-mBHI-p5_S30,40549.0,11977.0
G9-e003Coalescence-mGAM-p3_S178,250706.0,77116.0
G9-e003Coalescence-mGAM-p5_S78,50933.0,15821.0
G9-e003Coalescence-mGAM-p7_S174,163481.0,48474.0
