,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
B10-e003Coalescence-mBHI-p3,0.3623001815262166,0.7758991644729312
B10-e003Coalescence-mBHI-p5,0.5547870501415285,0.5339390812250333
B10-e003Coalescence-mGAM-p3,0.6474057603390702,0.43718883205456094
B10-e003Coalescence-mGAM-p7,0.20180272931907708,0.9950503384498046
B4-e003Coalescence-Inoculumn-mGAM,0.6459699680207707,0.38845988629185085
C3-e003Coalescence-Inoculumn-mGAM,0.6593237908797789,0.356715933072053
C9-e003Coalescence-mBHI-p3,0.26382505821120394,0.8493043937969924
C9-e003Coalescence-mBHI-p5,0.33484459792797233,0.77477658497063
C9-e003Coalescence-mBHI-p7,0.249834331158967,0.8901030591030592
C9-e003Coalescence-mGAM-p3,0.6138947737133903,0.4590142488285359
C9-e003Coalescence-mGAM-p5,0.4152838092310057,0.7181871600973739
C9-e003Coalescence-mGAM-p7,0.2727588613728244,0.89866277514466
F100-e003Coalescence-mBHI-p7_S115,0.5752926707283805,0.4563057525610717
F100-e003Coalescence-mGAM-p3_S167,0.8629851347109116,0.16025035806359209
F100-e003Coalescence-mGAM-p5_S67,0.6962516293757979,0.3614420103092783
F100-e003Coalescence-mGAM-p7_S163,0.8401496708316538,0.16591930003397892
G9-e003Coalescence-mBHI-p3_S130,0.33915090764013567,0.7837821851078637
G9-e003Coalescence-mBHI-p5_S30,0.2964031665392488,0.8465213325540619
G9-e003Coalescence-mGAM-p3_S178,0.6508075115872776,0.4084182270864672
G9-e003Coalescence-mGAM-p5_S78,0.5806998998684546,0.4887312432842425
G9-e003Coalescence-mGAM-p7_S174,0.3290228711593396,0.8227109584519536
