,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
B10-e003Coalescence-mBHI-p3,0.21240392413342055,0.7254641068447412
B10-e003Coalescence-mBHI-p5,0.4313257030739046,0.5000220367278797
B10-e003Coalescence-mGAM-p3,0.5332657946370176,0.41054090150250416
B10-e003Coalescence-mGAM-p7,0.004896795291039894,0.9616711185308848
B4-e003Coalescence-Inoculumn-mGAM,0.5807285807717463,0.3635121869782972
C3-e003Coalescence-Inoculumn-mGAM,0.5967137998691956,0.34535258764607674
C9-e003Coalescence-mBHI-p3,0.12944094179202092,0.8349883138564274
C9-e003Coalescence-mBHI-p5,0.1795080444735121,0.7507335559265442
C9-e003Coalescence-mBHI-p7,0.06478691955526487,0.8298781302170284
C9-e003Coalescence-mGAM-p3,0.4890036625245258,0.4332360601001669
C9-e003Coalescence-mGAM-p5,0.2527547416612165,0.6906143572621035
C9-e003Coalescence-mGAM-p7,0.08719424460431655,0.8839322203672788
F100-e003Coalescence-mBHI-p7_S115,0.46855421844342704,0.409824040066778
F100-e003Coalescence-mGAM-p3_S167,0.7585678221059516,0.13810183639398999
F100-e003Coalescence-mGAM-p5_S67,0.5522241988227601,0.32445242070116864
F100-e003Coalescence-mGAM-p7_S163,0.7627025506867234,0.15866544240400668
G9-e003Coalescence-mBHI-p3_S130,0.16833028122956178,0.7324490818030052
G9-e003Coalescence-mBHI-p5_S30,0.13564682799215172,0.8090621035058431
G9-e003Coalescence-mGAM-p3_S178,0.5366627861347286,0.38315993322203673
G9-e003Coalescence-mGAM-p5_S78,0.4492500981033355,0.4510687813021703
G9-e003Coalescence-mGAM-p7_S174,0.14708672334859385,0.7936383973288815
