,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B5-e003Coalescence-Inoculumn-mBHI,23202.0,129610.0
B5-e003Coalescence-mBHI-p3,38336.0,208972.0
B5-e003Coalescence-mBHI-p5,18721.0,104893.0
B5-e003Coalescence-mBHI-p7,19653.0,108511.0
B5-e003Coalescence-mGAM-p3,245290.0,1279356.0
B5-e003Coalescence-mGAM-p5,350899.0,1816543.0
B5-e003Coalescence-mGAM-p7,136429.0,711615.0
D3-e003Coalescence-Inoculumn-mBHI,62345.0,343941.0
D3-e003Coalescence-mBHI-p5,15495.0,85864.0
D3-e003Coalescence-mBHI-p7,26512.0,150378.0
D3-e003Coalescence-mGAM-p3,212864.0,1098944.0
D3-e003Coalescence-mGAM-p5,639386.0,3292040.0
F5-e003Coalescence-mBHI-p3_S24,42156.0,222750.0
F5-e003Coalescence-mBHI-p5_S16,19489.0,106368.0
F5-e003Coalescence-mBHI-p7_S112,12415.0,70122.0
F5-e003Coalescence-mGAM-p3_S72,143733.0,721404.0
F5-e003Coalescence-mGAM-p5_S64,495207.0,2463267.0
F5-e003Coalescence-mGAM-p7_S160,309517.0,1568174.0
H3-e003Coalescence-mBHI-p3_S46,67293.0,352903.0
H3-e003Coalescence-mBHI-p5_S38,25907.0,141622.0
H3-e003Coalescence-mBHI-p7_S134,14471.0,78537.0
H3-e003Coalescence-mGAM-p3_S94,193786.0,975781.0
H3-e003Coalescence-mGAM-p5_S86,247905.0,1248181.0
H3-e003Coalescence-mGAM-p7_S182,283276.0,1446377.0
