,C4-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
C5-e003Coalescence-mBHI-inoculumn-redo,13941.0,220880.0
C5-e003Coalescence-mBHI-p3,1910.0,30380.0
C5-e003Coalescence-mBHI-p5,11878.0,183961.0
C5-e003Coalescence-mBHI-p7,19649.0,289922.0
C5-e003Coalescence-mGAM-p3,126814.0,1885711.0
C5-e003Coalescence-mGAM-p7,86513.0,1290369.0
D4-e003Coalescence-Inoculumn-mBHI,21621.0,342752.0
D4-e003Coalescence-mBHI-p3,7290.0,113739.0
D4-e003Coalescence-mBHI-p5,4485.0,72847.0
D4-e003Coalescence-mBHI-p7,10928.0,168403.0
D4-e003Coalescence-mGAM-p3,115057.0,1707218.0
D4-e003Coalescence-mGAM-p5,171015.0,2555855.0
D4-e003Coalescence-mGAM-p7,103690.0,1565969.0
G5-e003Coalescence-mBHI-p3_S36,7790.0,121787.0
G5-e003Coalescence-mBHI-p5_S28,40963.0,607638.0
G5-e003Coalescence-mBHI-p7_S124,23465.0,357565.0
G5-e003Coalescence-mGAM-p3_S84,81914.0,1167674.0
G5-e003Coalescence-mGAM-p5_S76,124756.0,1788069.0
G5-e003Coalescence-mGAM-p7_S172,171602.0,2483951.0
H4-e003Coalescence-mBHI-p3_S47,13144.0,198685.0
H4-e003Coalescence-mBHI-p5_S39,15357.0,221841.0
H4-e003Coalescence-mBHI-p7_S135,7783.0,120572.0
H4-e003Coalescence-mGAM-p3_S95,35219.0,507651.0
H4-e003Coalescence-mGAM-p5_S87,79692.0,1139716.0
H4-e003Coalescence-mGAM-p7_S183,283693.0,4135997.0
