,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C11-e003Coalescence-mBHI-p3,0.474,0.444
C11-e003Coalescence-mBHI-p5,0.713,0.227
C11-e003Coalescence-mGAM-p3,0.02400000000000002,0.962
C11-e003Coalescence-mGAM-p5,0.014,0.978
C11-e003Coalescence-mGAM-p7,0.04250000000000002,0.938
C5-e003Coalescence-Inoculumn-mGAM,0.17200000000000004,0.775
D10-e003Coalescence-mBHI-p3,0.591,0.333
D10-e003Coalescence-mBHI-p5,0.667,0.25
D10-e003Coalescence-mBHI-p7,0.75,0.2
D10-e003Coalescence-mGAM-p3,0.011,0.981
D10-e003Coalescence-mGAM-p5,0.014,0.976
D10-e003Coalescence-mGAM-p7,0.026,0.957
D4-e003Coalescence-Inoculumn-mGAM,0.136,0.806
G111-e003Coalescence-mBHI-p5_S32,0.8089999999999999,0.128
G111-e003Coalescence-mBHI-p7_S128,0.9726476752560509,0.01829326688733923
G111-e003Coalescence-mGAM-p3_S180,0.028,0.9524999999999999
G111-e003Coalescence-mGAM-p5_S80,0.0021570482295093867,0.9966311760934526
G111-e003Coalescence-mGAM-p7_S176,0.015600837531049561,0.9696822262328838
H100-e003Coalescence-mBHI-p5_S43,0.608,0.293
H100-e003Coalescence-mBHI-p7_S139,0.641,0.282
H100-e003Coalescence-mGAM-p5_S91,0.1275,0.778
H100-e003Coalescence-mGAM-p7_S187,0.01163082879984751,0.943
