,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,584,954
A5-e003Coalescence-mBHI-inoculumn-redo,627,992
A5-e003Coalescence-mBHI-p3,579,949
A5-e003Coalescence-mBHI-p7,537,868
A5-e003Coalescence-mGAM-p3,618,983
D2-e003Coalescence-Inoculumn-mBHI,624,983
D2-e003Coalescence-mBHI-p3,620,972
D2-e003Coalescence-mBHI-p5,610,969
D2-e003Coalescence-mBHI-p7,420,575
D2-e003Coalescence-mGAM-p5,614,982
E5-e003Coalescence-mBHI-p3_S12,570,762
E5-e003Coalescence-mBHI-p5_S4,555,891
E5-e003Coalescence-mBHI-p7_S100,618,978
E5-e003Coalescence-mGAM-p3_S60,598,951
E5-e003Coalescence-mGAM-p5_S52,611,956
E5-e003Coalescence-mGAM-p7_S148,616,985
H2-e003Coalescence-mBHI-p3_S45,392,289
H2-e003Coalescence-mBHI-p7_S133,627,989
H2-e003Coalescence-mGAM-p3_S93,626,987
H2-e003Coalescence-mGAM-p5_S85,499,687
H2-e003Coalescence-mGAM-p7_S181,357,528
