,0.025,0.025
A5-e003Coalescence-Inoculumn-mBHI,0.0,0.0
A5-e003Coalescence-mBHI-inoculumn-redo,0.18929999999999997,0.222
A5-e003Coalescence-mBHI-p3,0.0,0.0
A5-e003Coalescence-mBHI-p7,0.0,0.2557
A5-e003Coalescence-mGAM-p3,0.0,0.32655
D2-e003Coalescence-Inoculumn-mBHI,0.15500000000000003,0.24065
D2-e003Coalescence-mBHI-p3,0.22595,0.146
D2-e003Coalescence-mBHI-p5,0.0,0.2846
D2-e003Coalescence-mBHI-p7,0.0,1.0
D2-e003Coalescence-mGAM-p5,0.0,0.739
E5-e003Coalescence-mBHI-p3_S12,0.3439,0.056
E5-e003Coalescence-mBHI-p5_S4,0.0,0.2115
E5-e003Coalescence-mBHI-p7_S100,0.0,0.884275
E5-e003Coalescence-mGAM-p3_S60,0.0,0.22
E5-e003Coalescence-mGAM-p5_S52,0.0,0.636
E5-e003Coalescence-mGAM-p7_S148,0.0,0.3056
H2-e003Coalescence-mBHI-p3_S45,0.676,0.0
H2-e003Coalescence-mBHI-p7_S133,0.0,0.6913999999999999
H2-e003Coalescence-mGAM-p3_S93,0.0,0.5836
H2-e003Coalescence-mGAM-p5_S85,0.0,0.0
H2-e003Coalescence-mGAM-p7_S181,0.0,0.052175
