,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
B11-e003Coalescence-mGAM-p3,0.25139664804469275,
B5-e003Coalescence-Inoculumn-mGAM,0.030726256983240222,
D3-e003Coalescence-Inoculumn-mGAM,0.0223463687150838,
D9-e003Coalescence-mGAM-p5,0.8687150837988827,
D9-e003Coalescence-mGAM-p7,0.9860335195530726,
F111-e003Coalescence-mGAM-p3_S168,0.22346368715083798,
H9-e003Coalescence-mGAM-p5_S90,0.7821229050279329,
H9-e003Coalescence-mGAM-p7_S186,0.9664804469273743,
B11-e003Coalescence-mGAM-p3,,0.5884557721139431
B5-e003Coalescence-Inoculumn-mGAM,,0.6131934032983508
D3-e003Coalescence-Inoculumn-mGAM,,0.5052473763118441
D9-e003Coalescence-mGAM-p5,,0.8403298350824587
D9-e003Coalescence-mGAM-p7,,0.9482758620689655
F111-e003Coalescence-mGAM-p3_S168,,0.5269865067466267
H9-e003Coalescence-mGAM-p5_S90,,0.7736131934032984
H9-e003Coalescence-mGAM-p7_S186,,0.9475262368815592
