,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mBHI-inoculumn-redo,4024,8874
A3-e003Coalescence-mBHI-p3,7795,15775
A3-e003Coalescence-mGAM-p7,9466,19262
B2-e003Coalescence-Inoculumn-mBHI,8781,18194
B2-e003Coalescence-mBHI-p3,9044,18374
B2-e003Coalescence-mBHI-p5,5551,11199
B2-e003Coalescence-mGAM-p3,9233,18723
E3-e003Coalescence-mBHI-p3_S10,7966,16120
E3-e003Coalescence-mBHI-p5_S2,8530,16988
E3-e003Coalescence-mGAM-p3_S58,9140,18466
E3-e003Coalescence-mGAM-p5_S50,9462,19216
E3-e003Coalescence-mGAM-p7_S146,9463,19244
F2-e003Coalescence-mBHI-p3_S21,7241,14585
F2-e003Coalescence-mBHI-p5_S13,9374,18926
F2-e003Coalescence-mGAM-p3_S69,9391,19009
F2-e003Coalescence-mGAM-p5_S61,9462,19205
F2-e003Coalescence-mGAM-p7_S157,9459,19197
