,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI
A3-e003Coalescence-mBHI-inoculumn-redo,0.017217703601985844,
A3-e003Coalescence-mBHI-p3,0.7263124537868385,
A3-e003Coalescence-mGAM-p7,0.9971479877469103,
B2-e003Coalescence-Inoculumn-mBHI,0.014365691348896165,
B2-e003Coalescence-mBHI-p3,0.6541671067920144,
B2-e003Coalescence-mBHI-p5,0.5745220238723988,
B2-e003Coalescence-mGAM-p3,0.9018696524770254,
E3-e003Coalescence-mBHI-p3_S10,0.5336431815781134,
E3-e003Coalescence-mBHI-p5_S2,0.8947924368860252,
E3-e003Coalescence-mGAM-p3_S58,0.9222562585824443,
E3-e003Coalescence-mGAM-p5_S50,0.8051124960388719,
E3-e003Coalescence-mGAM-p7_S146,0.9840498573993873,
F2-e003Coalescence-mBHI-p3_S21,0.6059997887398331,
F2-e003Coalescence-mBHI-p5_S13,0.9451779866906095,
F2-e003Coalescence-mGAM-p3_S69,0.9867962395690293,
F2-e003Coalescence-mGAM-p5_S61,0.9213055878314144,
F2-e003Coalescence-mGAM-p7_S157,0.972008027886342,
A3-e003Coalescence-mBHI-inoculumn-redo,,0.3245081243835332
A3-e003Coalescence-mBHI-p3,,0.0011420858640917822
A3-e003Coalescence-mGAM-p7,,0.0
B2-e003Coalescence-Inoculumn-mBHI,,0.3803665057363858
B2-e003Coalescence-mBHI-p3,,0.0003114779629341224
B2-e003Coalescence-mBHI-p5,,0.00010382598764470748
B2-e003Coalescence-mGAM-p3,,0.0
E3-e003Coalescence-mBHI-p3_S10,,0.009603903857135441
E3-e003Coalescence-mBHI-p5_S2,,0.0
E3-e003Coalescence-mGAM-p3_S58,,5.191299382235374e-05
E3-e003Coalescence-mGAM-p5_S50,,0.0
E3-e003Coalescence-mGAM-p7_S146,,0.0
F2-e003Coalescence-mBHI-p3_S21,,0.004516430462544775
F2-e003Coalescence-mBHI-p5_S13,,0.0
F2-e003Coalescence-mGAM-p3_S69,,0.0
F2-e003Coalescence-mGAM-p5_S61,,0.0
F2-e003Coalescence-mGAM-p7_S157,,0.0
