,A2-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,0.5096047522750253,0.4701163632852108
A4-e003Coalescence-mBHI-p7,0.024706875631951467,0.8483375018106319
A4-e003Coalescence-mGAM-p5,0.12293559150657231,0.7405430447588238
C2-e003Coalescence-mBHI-inoculumn-redo,0.5431232558139535,0.42873434406836947
C2-e003Coalescence-mBHI-p3,0.008675429726996964,0.5747491188257449
C2-e003Coalescence-mGAM-p3,0.0003719919110212336,0.973129399835836
C2-e003Coalescence-mGAM-p5,0.0013344792719919112,0.996191782144754
C2-e003Coalescence-mGAM-p7,0.00020980788675429728,0.9996784317512433
E4-e003Coalescence-mBHI-p3_S11,0.016663801820020224,0.25215658345806574
E4-e003Coalescence-mBHI-p7_S99,0.24922487360970677,0.009365989087924291
E4-e003Coalescence-mGAM-p3_S59,0.00016916076845298282,0.9798836367147892
E4-e003Coalescence-mGAM-p5_S51,0.00020869565217391305,0.997442180483801
E4-e003Coalescence-mGAM-p7_S147,0.0001893832153690597,0.9991274684950029
G2-e003Coalescence-mBHI-p3_S33,0.022595045500505558,0.366925981362561
G2-e003Coalescence-mGAM-p3_S81,0.0002910010111223458,0.9879768721935204
G2-e003Coalescence-mGAM-p5_S73,0.0002070778564206269,0.9965847617208247
