,0.975,0.975
A3-e003Coalescence-mBHI-inoculumn-redo,1.0,1.0
A3-e003Coalescence-mBHI-p3,1.0,0.364
A3-e003Coalescence-mGAM-p7,1.0,0.208
B2-e003Coalescence-Inoculumn-mBHI,1.0,1.0
B2-e003Coalescence-mBHI-p3,1.0,0.231
B2-e003Coalescence-mBHI-p5,1.0,0.5
B2-e003Coalescence-mGAM-p3,1.0,1.0
E3-e003Coalescence-mBHI-p3_S10,1.0,0.286
E3-e003Coalescence-mBHI-p5_S2,1.0,0.214
E3-e003Coalescence-mGAM-p3_S58,1.0,0.375
E3-e003Coalescence-mGAM-p5_S50,1.0,0.368
E3-e003Coalescence-mGAM-p7_S146,1.0,0.3850499999999997
F2-e003Coalescence-mBHI-p3_S21,1.0,0.0
F2-e003Coalescence-mBHI-p5_S13,1.0,0.17132499999999987
F2-e003Coalescence-mGAM-p3_S69,1.0,0.19107499999999983
F2-e003Coalescence-mGAM-p5_S61,1.0,0.17102500000000012
F2-e003Coalescence-mGAM-p7_S157,1.0,0.16057499999999983
