,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
B11-e003Coalescence-mGAM-p3,1598.0,2520.0
B11-e003Coalescence-mGAM-p7,421.0,611.0
B5-e003Coalescence-Inoculumn-mGAM,1172.0,1513.0
D3-e003Coalescence-Inoculumn-mGAM,2142.0,2887.0
D9-e003Coalescence-mBHI-p5,76.0,104.0
D9-e003Coalescence-mBHI-p7,228.0,342.0
D9-e003Coalescence-mGAM-p3,747.0,1047.0
D9-e003Coalescence-mGAM-p5,1269.0,1861.0
D9-e003Coalescence-mGAM-p7,727.0,961.0
F111-e003Coalescence-mBHI-p7_S116,118.0,141.0
F111-e003Coalescence-mGAM-p3_S168,315.0,465.0
F111-e003Coalescence-mGAM-p5_S68,314.0,493.0
F111-e003Coalescence-mGAM-p7_S164,310.0,417.0
H9-e003Coalescence-mBHI-p5_S42,312.0,477.0
H9-e003Coalescence-mBHI-p7_S138,52.0,62.0
H9-e003Coalescence-mGAM-p3_S190,166.0,224.0
H9-e003Coalescence-mGAM-p5_S90,464.0,648.0
H9-e003Coalescence-mGAM-p7_S186,484.0,749.0
