,0.025,0.025
A3-e003Coalescence-mBHI-inoculumn-redo,0.216,0.213825
A3-e003Coalescence-mBHI-p3,0.227,0.312
A3-e003Coalescence-mGAM-p7,0.0,0.44
B2-e003Coalescence-Inoculumn-mBHI,0.217,0.23485
B2-e003Coalescence-mBHI-p3,0.21899999999999997,0.335
B2-e003Coalescence-mBHI-p5,0.0,0.681
B2-e003Coalescence-mBHI-p7,0.0,0.4676
B2-e003Coalescence-mGAM-p3,0.0,0.553675
E3-e003Coalescence-mBHI-p3_S10,0.177,0.327
E3-e003Coalescence-mBHI-p5_S2,0.22099999999999997,0.290475
E3-e003Coalescence-mGAM-p3_S58,0.0,0.576
E3-e003Coalescence-mGAM-p5_S50,0.0,0.68
E3-e003Coalescence-mGAM-p7_S146,0.0,0.616
F2-e003Coalescence-mBHI-p3_S21,0.149,0.294
F2-e003Coalescence-mBHI-p5_S13,0.224,0.289
F2-e003Coalescence-mBHI-p7_S109,0.0,0.5
F2-e003Coalescence-mGAM-p3_S69,0.0,0.487725
F2-e003Coalescence-mGAM-p5_S61,0.0,0.659
F2-e003Coalescence-mGAM-p7_S157,0.0,0.59
