,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
A3-e003Coalescence-Inoculumn-mGAM,0.6465386597938143,0.3057290107222335
A9-e003Coalescence-mBHI-p3,0.1832043192321365,0.7853773012340683
A9-e003Coalescence-mBHI-p5,0.13186446853892642,0.8205349989884686
A9-e003Coalescence-mBHI-p7,0.10070929612513331,0.8407244588306696
A9-e003Coalescence-mGAM-p5,0.12640543903306078,0.8127797896014566
A9-e003Coalescence-mGAM-p7,0.17616930323498045,0.7361102569289906
B2-e003Coalescence-Inoculumn-mGAM,0.6556094916459296,0.3007958729516488
B8-e003Coalescence-mBHI-p5,0.11685940277284039,0.8274859397127251
B8-e003Coalescence-mBHI-p7,0.09561846782794171,0.8353432126239125
B8-e003Coalescence-mGAM-p5,0.07630616779239247,0.8806861217883876
B8-e003Coalescence-mGAM-p7,0.12061571276217563,0.8188846854137163
E9-e003Coalescence-mBHI-p5_S6,0.10913650906505509,0.8313747724054218
E9-e003Coalescence-mBHI-p7_S102,0.10458522929257022,0.813695427877807
E9-e003Coalescence-mGAM-p3_S154,0.17255430145751868,0.774403398745701
E9-e003Coalescence-mGAM-p5_S54,0.097296658371845,0.81064009710702
F8-e003Coalescence-mBHI-p3_S117,0.09492499111269108,0.8666396924944366
F8-e003Coalescence-mBHI-p5_S17,0.07484882687522218,0.8700416750960955
F8-e003Coalescence-mBHI-p7_S113,0.09734127266263776,0.80931124822982
F8-e003Coalescence-mGAM-p5_S65,0.057918147884820484,0.8745767752377099
F8-e003Coalescence-mGAM-p7_S161,0.1045678101670814,0.7989326320048554
