,A2-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,4055651.0,422732.0
A4-e003Coalescence-mBHI-p3,3610897.0,358075.0
A4-e003Coalescence-mBHI-p5,4301018.0,426088.0
A4-e003Coalescence-mBHI-p7,3337177.0,336008.0
A4-e003Coalescence-mGAM-p5,7164160.0,729903.0
C2-e003Coalescence-mBHI-inoculumn-redo,4125254.0,427610.0
C2-e003Coalescence-mBHI-p3,17881975.0,1763504.0
C2-e003Coalescence-mBHI-p5,5140673.0,512097.0
C2-e003Coalescence-mBHI-p7,538736.0,54290.0
C2-e003Coalescence-mGAM-p3,1180230.0,113338.0
C2-e003Coalescence-mGAM-p5,1973038.0,186389.0
C2-e003Coalescence-mGAM-p7,11762569.0,1150592.0
E4-e003Coalescence-mBHI-p3_S11,4846631.0,476522.0
E4-e003Coalescence-mBHI-p5_S3,6211515.0,612315.0
E4-e003Coalescence-mBHI-p7_S99,2045284.0,209131.0
E4-e003Coalescence-mGAM-p3_S59,1928240.0,181806.0
E4-e003Coalescence-mGAM-p5_S51,774817.0,68141.0
E4-e003Coalescence-mGAM-p7_S147,1600652.0,145623.0
G2-e003Coalescence-mBHI-p3_S33,7536350.0,737317.0
G2-e003Coalescence-mBHI-p5_S25,6734407.0,674837.0
G2-e003Coalescence-mBHI-p7_S121,1389450.0,141789.0
G2-e003Coalescence-mGAM-p3_S81,3397528.0,324719.0
G2-e003Coalescence-mGAM-p5_S73,3497043.0,320201.0
