,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
A10-e003Coalescence-mBHI-p3,0.429,0.955
A10-e003Coalescence-mBHI-p5,0.351,0.963
A10-e003Coalescence-mBHI-p7,0.29400000000000004,0.964
A10-e003Coalescence-mGAM-p3,0.535,0.896
A10-e003Coalescence-mGAM-p7,0.389,0.957
A4-e003Coalescence-Inoculumn-mGAM,0.779,0.511
C2-e003Coalescence-Inoculumn-mGAM,0.756,0.538
C8-e003Coalescence-mBHI-p5,0.29800000000000004,0.963
C8-e003Coalescence-mBHI-p7,0.25,0.932
C8-e003Coalescence-mGAM-p7,0.394,0.933
E100-e003Coalescence-mBHI-p5_S7,0.41600000000000004,0.966
E100-e003Coalescence-mBHI-p7_S103,0.43700000000000006,0.916
E100-e003Coalescence-mGAM-p3_S155,0.493,0.884
E100-e003Coalescence-mGAM-p5_S55,0.619,0.955
E100-e003Coalescence-mGAM-p7_S151,0.553,0.94
G8-e003Coalescence-mBHI-p3_S129,0.44299999999999995,0.957
G8-e003Coalescence-mBHI-p5_S29,0.372,0.967
G8-e003Coalescence-mBHI-p7_S125,0.30800000000000005,0.963
G8-e003Coalescence-mGAM-p3_S177,0.6970000000000001,0.954
G8-e003Coalescence-mGAM-p5_S77,0.464,0.953
G8-e003Coalescence-mGAM-p7_S173,0.451,0.905
