,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
A10-e003Coalescence-mBHI-p3,0.33353406791095125,0.8523785410764874
A10-e003Coalescence-mBHI-p5,0.275716550483472,0.8308990793201133
A10-e003Coalescence-mBHI-p7,0.24946700022487067,0.7824107648725214
A10-e003Coalescence-mGAM-p3,0.42009129750393526,0.8396689093484418
A10-e003Coalescence-mGAM-p7,0.3121004047672588,0.8410917138810198
A4-e003Coalescence-Inoculumn-mGAM,0.667760006746121,0.5071356232294618
C2-e003Coalescence-Inoculumn-mGAM,0.6568192039577243,0.5296660764872522
C8-e003Coalescence-mBHI-p5,0.24616027659096013,0.7834157223796034
C8-e003Coalescence-mBHI-p7,0.2397325163031257,0.7187949716713882
C8-e003Coalescence-mGAM-p7,0.3115808410164156,0.8262142351274787
E100-e003Coalescence-mBHI-p5_S7,0.30495828648527096,0.8569727337110481
E100-e003Coalescence-mBHI-p7_S103,0.3660356420058466,0.8382046742209632
E100-e003Coalescence-mGAM-p3_S155,0.4124194400719586,0.831751062322946
E100-e003Coalescence-mGAM-p5_S55,0.44250432876096246,0.9047662889518415
E100-e003Coalescence-mGAM-p7_S151,0.42215937710816276,0.8909968130311615
G8-e003Coalescence-mBHI-p3_S129,0.3336947942433101,0.8630736543909348
G8-e003Coalescence-mBHI-p5_S29,0.2798189228693501,0.842845254957507
G8-e003Coalescence-mBHI-p7_S125,0.25360844389476056,0.8065184135977338
G8-e003Coalescence-mGAM-p3_S177,0.4687516303125703,0.9173739376770538
G8-e003Coalescence-mGAM-p5_S77,0.3793116707892962,0.8875740084985836
G8-e003Coalescence-mGAM-p7_S173,0.3512394872948054,0.82176664305949
