,C4-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
C5-e003Coalescence-mBHI-inoculumn-redo,0.8687103531779559,0.42761708174132956
C5-e003Coalescence-mBHI-p3,0.7789560607316535,0.6614182620129836
C5-e003Coalescence-mBHI-p5,0.7275921481517453,0.7918628400616391
C5-e003Coalescence-mBHI-p7,0.673633884422949,0.9371579572383593
C5-e003Coalescence-mGAM-p3,0.8574327635537531,0.748710077447233
C5-e003Coalescence-mGAM-p7,0.7116987931171831,0.9177572741694662
D4-e003Coalescence-Inoculumn-mBHI,0.8410738781381191,0.4595704224615867
D4-e003Coalescence-mBHI-p3,0.7979975978871074,0.6427982842234269
D4-e003Coalescence-mBHI-p5,0.7568658662823449,0.7321221519403622
D4-e003Coalescence-mBHI-p7,0.7003126941434703,0.8556383880917966
D4-e003Coalescence-mGAM-p3,0.8730676265471252,0.7300228658894286
D4-e003Coalescence-mGAM-p5,0.8630081797011451,0.7566479906617998
D4-e003Coalescence-mGAM-p7,0.7699879417567246,0.844250831595906
G5-e003Coalescence-mBHI-p3_S36,0.7828176595451414,0.6480215477100734
G5-e003Coalescence-mBHI-p5_S28,0.7251174310232124,0.7729884407315433
G5-e003Coalescence-mBHI-p7_S124,0.7122916731555984,0.8430325121161734
G5-e003Coalescence-mGAM-p3_S84,0.8456635289440994,0.7511431621287129
G5-e003Coalescence-mGAM-p5_S76,0.9063382210659844,0.7053006475485661
G5-e003Coalescence-mGAM-p7_S172,0.6970357450191409,0.9155639866848099
H4-e003Coalescence-mBHI-p3_S47,0.6740433455122067,0.7149620655785826
H4-e003Coalescence-mBHI-p5_S39,0.689791610524199,0.8006994997796486
H4-e003Coalescence-mBHI-p7_S135,0.6925221917304024,0.8377335390050257
H4-e003Coalescence-mGAM-p3_S95,0.7329467130895292,0.8225273803793762
H4-e003Coalescence-mGAM-p5_S87,0.7702125311760644,0.8377214064977294
H4-e003Coalescence-mGAM-p7_S183,0.7550062696887742,0.8583457951974998
