,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C11-e003Coalescence-mBHI-p3,0.00531588632181558,
C11-e003Coalescence-mBHI-p5,0.0,
C11-e003Coalescence-mGAM-p3,0.003271314659578818,
C11-e003Coalescence-mGAM-p5,0.1694949907994275,
C11-e003Coalescence-mGAM-p7,0.12574115722756082,
C5-e003Coalescence-Inoculumn-mGAM,0.0,
D10-e003Coalescence-mBHI-p3,0.0,
D10-e003Coalescence-mBHI-p5,0.0,
D10-e003Coalescence-mBHI-p7,0.0,
D10-e003Coalescence-mGAM-p3,0.15313841750153342,
D10-e003Coalescence-mGAM-p5,0.04334491923941934,
D10-e003Coalescence-mGAM-p7,0.014107544469433653,
D4-e003Coalescence-Inoculumn-mGAM,0.004293600490697199,
G111-e003Coalescence-mBHI-p3_S132,0.2760171744019628,
G111-e003Coalescence-mBHI-p5_S32,0.0,
G111-e003Coalescence-mBHI-p7_S128,0.0,
G111-e003Coalescence-mGAM-p3_S180,0.04334491923941934,
G111-e003Coalescence-mGAM-p5_S80,0.23103659783275404,
G111-e003Coalescence-mGAM-p7_S176,0.5510120629728072,
H100-e003Coalescence-mBHI-p5_S43,0.0,
H100-e003Coalescence-mBHI-p7_S139,0.0004089143324473523,
H100-e003Coalescence-mGAM-p5_S91,0.02596606011040687,
H100-e003Coalescence-mGAM-p7_S187,0.23676139848701697,
C11-e003Coalescence-mBHI-p3,,0.0
C11-e003Coalescence-mBHI-p5,,0.0
C11-e003Coalescence-mGAM-p3,,0.0
C11-e003Coalescence-mGAM-p5,,0.0
C11-e003Coalescence-mGAM-p7,,0.0
C5-e003Coalescence-Inoculumn-mGAM,,0.0
D10-e003Coalescence-mBHI-p3,,0.0
D10-e003Coalescence-mBHI-p5,,0.0
D10-e003Coalescence-mBHI-p7,,0.0
D10-e003Coalescence-mGAM-p3,,0.0
D10-e003Coalescence-mGAM-p5,,0.0
D10-e003Coalescence-mGAM-p7,,0.0
D4-e003Coalescence-Inoculumn-mGAM,,0.03248929915940385
G111-e003Coalescence-mBHI-p3_S132,,0.05332370687432314
G111-e003Coalescence-mBHI-p5_S32,,0.0
G111-e003Coalescence-mBHI-p7_S128,,0.0
G111-e003Coalescence-mGAM-p3_S180,,0.0
G111-e003Coalescence-mGAM-p5_S80,,0.0
G111-e003Coalescence-mGAM-p7_S176,,0.0002062812645041514
H100-e003Coalescence-mBHI-p5_S43,,0.0
H100-e003Coalescence-mBHI-p7_S139,,0.0
H100-e003Coalescence-mGAM-p5_S91,,0.0001031406322520757
H100-e003Coalescence-mGAM-p7_S187,,5.157031612603785e-05
