,B3-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
B4-e003Coalescence-Inoculumn-mBHI,0.606878612716763,0.3962075471698114
B4-e003Coalescence-mGAM-p5,0.0,1.0
C3-e003Coalescence-mBHI-inoculumn-redo,0.5599828571428571,0.49984210526315787
C3-e003Coalescence-mGAM-p3,0.0,1.0
C3-e003Coalescence-mGAM-p5,0.0,1.0
C3-e003Coalescence-mGAM-p7,0.0,1.0
F4-e003Coalescence-mGAM-p5_S63,0.0,1.0
F4-e003Coalescence-mGAM-p7_S159,0.0,1.0
G3-e003Coalescence-mGAM-p3_S82,0.0,1.0
G3-e003Coalescence-mGAM-p5_S74,0.0,1.0
