,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
B10-e003Coalescence-mBHI-p3,1.0,0.0
B10-e003Coalescence-mBHI-p5,1.0,0.0
B10-e003Coalescence-mGAM-p3,0.231,0.757
B10-e003Coalescence-mGAM-p7,0.75,0.214
B4-e003Coalescence-Inoculumn-mGAM,0.562,0.416
C3-e003Coalescence-Inoculumn-mGAM,0.567,0.408
C9-e003Coalescence-mBHI-p3,1.0,0.0
C9-e003Coalescence-mBHI-p5,1.0,0.0
C9-e003Coalescence-mBHI-p7,1.0,0.0
C9-e003Coalescence-mGAM-p3,0.146,0.845
C9-e003Coalescence-mGAM-p5,0.319,0.662
C9-e003Coalescence-mGAM-p7,0.235,0.75
F100-e003Coalescence-mBHI-p7_S115,1.0,0.0
F100-e003Coalescence-mGAM-p3_S167,0.126,0.859
F100-e003Coalescence-mGAM-p5_S67,0.33299999999999996,0.647
F100-e003Coalescence-mGAM-p7_S163,0.346,0.633
G9-e003Coalescence-mBHI-p3_S130,1.0,0.0
G9-e003Coalescence-mBHI-p5_S30,1.0,0.0
G9-e003Coalescence-mGAM-p3_S178,0.06899999999999995,0.927
G9-e003Coalescence-mGAM-p5_S78,0.094,0.891
G9-e003Coalescence-mGAM-p7_S174,0.075,0.918
