,A2-e003Coalescence-Inoculumn-mGAM,A2-e003Coalescence-Inoculumn-mGAM
A3-e003Coalescence-Inoculumn-mGAM,26485.0,6663.0
A9-e003Coalescence-mBHI-p3,185146.0,47274.0
A9-e003Coalescence-mBHI-p5,69047.0,17204.0
A9-e003Coalescence-mBHI-p7,192415.0,48870.0
A9-e003Coalescence-mGAM-p5,120720.0,30015.0
A9-e003Coalescence-mGAM-p7,41268.0,10577.0
B2-e003Coalescence-Inoculumn-mGAM,64800.0,16043.0
B8-e003Coalescence-mBHI-p5,118259.0,29676.0
B8-e003Coalescence-mBHI-p7,67414.0,17463.0
B8-e003Coalescence-mGAM-p5,44224.0,11663.0
B8-e003Coalescence-mGAM-p7,48570.0,12635.0
E9-e003Coalescence-mBHI-p5_S6,69997.0,17685.0
E9-e003Coalescence-mBHI-p7_S102,83068.0,20790.0
E9-e003Coalescence-mGAM-p3_S154,87286.0,22300.0
E9-e003Coalescence-mGAM-p5_S54,21745.0,5791.0
F8-e003Coalescence-mBHI-p3_S117,70815.0,17892.0
F8-e003Coalescence-mBHI-p5_S17,71410.0,17812.0
F8-e003Coalescence-mBHI-p7_S113,57326.0,14503.0
F8-e003Coalescence-mGAM-p5_S65,13342.0,3453.0
F8-e003Coalescence-mGAM-p7_S161,25091.0,6174.0
