,A2-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,1242498.0,1833424.0
A4-e003Coalescence-mBHI-p3,44967.0,67721.0
A4-e003Coalescence-mBHI-p5,363748.0,566551.0
A4-e003Coalescence-mBHI-p7,166492.0,255645.0
A4-e003Coalescence-mGAM-p5,1502397.0,2385292.0
C2-e003Coalescence-mBHI-inoculumn-redo,874489.0,1278701.0
C2-e003Coalescence-mBHI-p3,140324.0,210236.0
C2-e003Coalescence-mBHI-p5,65762.0,101131.0
C2-e003Coalescence-mGAM-p3,2090909.0,3122756.0
C2-e003Coalescence-mGAM-p5,1638576.0,2437384.0
C2-e003Coalescence-mGAM-p7,9322414.0,13852234.0
E4-e003Coalescence-mBHI-p3_S11,16893.0,20662.0
E4-e003Coalescence-mBHI-p5_S3,530527.0,814075.0
E4-e003Coalescence-mBHI-p7_S99,659796.0,1021942.0
E4-e003Coalescence-mGAM-p3_S59,2497211.0,3597359.0
E4-e003Coalescence-mGAM-p5_S51,2029670.0,2885995.0
E4-e003Coalescence-mGAM-p7_S147,2953521.0,4230542.0
G2-e003Coalescence-mBHI-p3_S33,66949.0,102079.0
G2-e003Coalescence-mBHI-p5_S25,161156.0,255579.0
G2-e003Coalescence-mBHI-p7_S121,27356.0,45579.0
G2-e003Coalescence-mGAM-p3_S81,2375305.0,3502170.0
G2-e003Coalescence-mGAM-p5_S73,2935123.0,4149929.0
