,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C11-e003Coalescence-mBHI-p3,0.161,0.891
C11-e003Coalescence-mBHI-p5,0.134,0.902
C11-e003Coalescence-mGAM-p3,0.363,0.677
C11-e003Coalescence-mGAM-p5,0.30100000000000005,0.722
C11-e003Coalescence-mGAM-p7,0.531,0.48
C5-e003Coalescence-Inoculumn-mGAM,0.859,0.43500000000000005
D10-e003Coalescence-mBHI-p3,0.19299999999999995,0.868
D10-e003Coalescence-mBHI-p5,0.20599999999999996,0.86
D10-e003Coalescence-mBHI-p7,0.247,0.835
D10-e003Coalescence-mGAM-p3,0.695,0.396
D10-e003Coalescence-mGAM-p5,0.325,0.69
D10-e003Coalescence-mGAM-p7,0.248,0.763
D4-e003Coalescence-Inoculumn-mGAM,0.872,0.42500000000000004
G111-e003Coalescence-mBHI-p3_S132,0.0,1.0
G111-e003Coalescence-mBHI-p5_S32,0.16500000000000004,0.88
G111-e003Coalescence-mBHI-p7_S128,0.19,0.865
G111-e003Coalescence-mGAM-p3_S180,0.329,0.718
G111-e003Coalescence-mGAM-p5_S80,0.354,0.665
G111-e003Coalescence-mGAM-p7_S176,0.842,0.258
H100-e003Coalescence-mBHI-p5_S43,0.213,0.819
H100-e003Coalescence-mBHI-p7_S139,0.255,0.771
H100-e003Coalescence-mGAM-p5_S91,0.809,0.37
H100-e003Coalescence-mGAM-p7_S187,0.529,0.529
