,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
A11-e003Coalescence-mBHI-p3,3794.0,3484.0
A11-e003Coalescence-mBHI-p5,1067.0,959.0
A11-e003Coalescence-mBHI-p7,1056.0,780.0
A11-e003Coalescence-mGAM-p3,11179.0,9997.0
A11-e003Coalescence-mGAM-p7,3519.0,3147.0
A5-e003Coalescence-Inoculumn-mGAM,8242.0,7497.0
D2-e003Coalescence-Inoculumn-mGAM,7150.0,6527.0
D8-e003Coalescence-mBHI-p5,1115.0,1244.0
D8-e003Coalescence-mGAM-p5,8813.0,8114.0
E111-e003Coalescence-mBHI-p3_S108,690.0,789.0
E111-e003Coalescence-mBHI-p5_S8,1006.0,955.0
E111-e003Coalescence-mBHI-p7_S104,9396.0,8548.0
E111-e003Coalescence-mGAM-p5_S56,6863.0,6093.0
H8-e003Coalescence-mBHI-p5_S41,3127.0,2931.0
H8-e003Coalescence-mBHI-p7_S137,3409.0,3166.0
H8-e003Coalescence-mGAM-p5_S89,6708.0,6217.0
H8-e003Coalescence-mGAM-p7_S185,19971.0,17481.0
