,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
A11-e003Coalescence-mBHI-p3,0.608,0.358
A11-e003Coalescence-mBHI-p5,0.769,0.217
A11-e003Coalescence-mBHI-p7,0.714,0.3
A11-e003Coalescence-mGAM-p3,0.119,0.885
A11-e003Coalescence-mGAM-p7,0.0,1.0
A5-e003Coalescence-Inoculumn-mGAM,0.511,0.452
E111-e003Coalescence-mBHI-p3_S108,0.64,0.316
E111-e003Coalescence-mBHI-p5_S8,0.739,0.235
E111-e003Coalescence-mBHI-p7_S104,0.561,0.375
E111-e003Coalescence-mGAM-p5_S56,0.03500000000000002,0.973
