,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
B11-e003Coalescence-mBHI-p3,1.0,0.0
B11-e003Coalescence-mGAM-p3,0.049,0.947
B11-e003Coalescence-mGAM-p7,0.06,0.941
B5-e003Coalescence-Inoculumn-mGAM,0.19,0.786
D3-e003Coalescence-Inoculumn-mGAM,0.207,0.763
D9-e003Coalescence-mBHI-p3,1.0,0.0
D9-e003Coalescence-mBHI-p5,1.0,0.0
D9-e003Coalescence-mBHI-p7,1.0,0.0
D9-e003Coalescence-mGAM-p3,0.048,0.952
D9-e003Coalescence-mGAM-p5,0.053,0.944
D9-e003Coalescence-mGAM-p7,0.039,0.961
F111-e003Coalescence-mBHI-p3_S120,1.0,0.0
F111-e003Coalescence-mBHI-p5_S20,1.0,0.0
F111-e003Coalescence-mBHI-p7_S116,0.724,0.194
F111-e003Coalescence-mGAM-p3_S168,0.055,0.944
F111-e003Coalescence-mGAM-p5_S68,0.0,1.0
F111-e003Coalescence-mGAM-p7_S164,0.0,1.0
H9-e003Coalescence-mBHI-p5_S42,1.0,0.0
H9-e003Coalescence-mBHI-p7_S138,1.0,0.0
H9-e003Coalescence-mGAM-p3_S190,0.0,1.0
H9-e003Coalescence-mGAM-p5_S90,0.038,0.96
H9-e003Coalescence-mGAM-p7_S186,0.045,0.952
