,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B5-e003Coalescence-Inoculumn-mBHI,42664.0,37667.0
B5-e003Coalescence-mBHI-p3,20829.0,18663.0
B5-e003Coalescence-mBHI-p5,18383.0,15903.0
B5-e003Coalescence-mBHI-p7,22308.0,19773.0
D3-e003Coalescence-Inoculumn-mBHI,102237.0,90133.0
D3-e003Coalescence-mBHI-p5,14309.0,12738.0
D3-e003Coalescence-mBHI-p7,27272.0,24060.0
D3-e003Coalescence-mGAM-p5,986.0,911.0
F5-e003Coalescence-mBHI-p3_S24,21517.0,19391.0
F5-e003Coalescence-mBHI-p5_S16,17462.0,15490.0
F5-e003Coalescence-mBHI-p7_S112,9874.0,8892.0
H3-e003Coalescence-mBHI-p3_S46,24985.0,22295.0
H3-e003Coalescence-mBHI-p5_S38,24315.0,21278.0
H3-e003Coalescence-mBHI-p7_S134,15895.0,13910.0
