,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
A10-e003Coalescence-mBHI-p3,8601.0,19602.0
A10-e003Coalescence-mBHI-p5,72794.0,156014.0
A10-e003Coalescence-mBHI-p7,93919.0,199997.0
A10-e003Coalescence-mGAM-p3,4066134.0,8768296.0
A10-e003Coalescence-mGAM-p7,1860205.0,4008017.0
A4-e003Coalescence-Inoculumn-mGAM,2199524.0,4915067.0
C2-e003Coalescence-Inoculumn-mGAM,939312.0,2099841.0
C8-e003Coalescence-mBHI-p5,340479.0,732679.0
C8-e003Coalescence-mBHI-p7,88762.0,193943.0
C8-e003Coalescence-mGAM-p7,3421108.0,7387143.0
E100-e003Coalescence-mBHI-p5_S7,172430.0,362609.0
E100-e003Coalescence-mBHI-p7_S103,307644.0,636364.0
E100-e003Coalescence-mGAM-p3_S155,5945522.0,12452639.0
E100-e003Coalescence-mGAM-p5_S55,2347748.0,4903044.0
E100-e003Coalescence-mGAM-p7_S151,1529916.0,3193811.0
G8-e003Coalescence-mBHI-p3_S129,304973.0,641679.0
G8-e003Coalescence-mBHI-p5_S29,211264.0,439634.0
G8-e003Coalescence-mBHI-p7_S125,111747.0,230978.0
G8-e003Coalescence-mGAM-p3_S177,5590522.0,11877903.0
G8-e003Coalescence-mGAM-p5_S77,5995189.0,12497813.0
G8-e003Coalescence-mGAM-p7_S173,7592128.0,15961685.0
