,B3-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI
B4-e003Coalescence-Inoculumn-mBHI,306458.0,356492.0
B4-e003Coalescence-mBHI-p3,124479.0,150372.0
B4-e003Coalescence-mGAM-p5,808760.0,945063.0
C3-e003Coalescence-mBHI-inoculumn-redo,249175.0,292921.0
C3-e003Coalescence-mBHI-p5,153958.0,190319.0
C3-e003Coalescence-mBHI-p7,196828.0,241537.0
C3-e003Coalescence-mGAM-p3,1904000.0,2267996.0
C3-e003Coalescence-mGAM-p5,2425251.0,2840544.0
C3-e003Coalescence-mGAM-p7,5082504.0,5990603.0
F4-e003Coalescence-mBHI-p3_S23,70984.0,90026.0
F4-e003Coalescence-mBHI-p5_S15,109660.0,136496.0
F4-e003Coalescence-mBHI-p7_S111,97683.0,114568.0
F4-e003Coalescence-mGAM-p3_S71,1979615.0,2356561.0
F4-e003Coalescence-mGAM-p5_S63,748061.0,899366.0
F4-e003Coalescence-mGAM-p7_S159,2289711.0,2782977.0
G3-e003Coalescence-mBHI-p3_S34,357724.0,443109.0
G3-e003Coalescence-mBHI-p5_S26,438044.0,546625.0
G3-e003Coalescence-mBHI-p7_S122,380992.0,472679.0
G3-e003Coalescence-mGAM-p3_S82,2329704.0,2664181.0
G3-e003Coalescence-mGAM-p5_S74,1791948.0,2007086.0
