,C4-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
C5-e003Coalescence-mBHI-inoculumn-redo,263542.0,242095.0
C5-e003Coalescence-mBHI-p3,5447.0,5186.0
C5-e003Coalescence-mBHI-p5,115131.0,106629.0
C5-e003Coalescence-mBHI-p7,193878.0,179250.0
C5-e003Coalescence-mGAM-p3,971474.0,929732.0
C5-e003Coalescence-mGAM-p7,394717.0,362372.0
D4-e003Coalescence-Inoculumn-mBHI,450908.0,416216.0
D4-e003Coalescence-mBHI-p3,23063.0,20935.0
D4-e003Coalescence-mBHI-p5,15188.0,14548.0
D4-e003Coalescence-mBHI-p7,60468.0,55107.0
D4-e003Coalescence-mGAM-p3,1725243.0,1634453.0
D4-e003Coalescence-mGAM-p5,464739.0,428726.0
D4-e003Coalescence-mGAM-p7,645406.0,597345.0
G5-e003Coalescence-mBHI-p3_S36,12994.0,12682.0
G5-e003Coalescence-mBHI-p5_S28,150020.0,138604.0
G5-e003Coalescence-mBHI-p7_S124,125312.0,115486.0
G5-e003Coalescence-mGAM-p3_S84,771863.0,751167.0
G5-e003Coalescence-mGAM-p5_S76,651054.0,624754.0
G5-e003Coalescence-mGAM-p7_S172,436963.0,401586.0
H4-e003Coalescence-mBHI-p3_S47,86539.0,76825.0
H4-e003Coalescence-mBHI-p5_S39,54232.0,49206.0
H4-e003Coalescence-mBHI-p7_S135,57066.0,52908.0
H4-e003Coalescence-mGAM-p3_S95,121130.0,115688.0
H4-e003Coalescence-mGAM-p5_S87,113103.0,101840.0
H4-e003Coalescence-mGAM-p7_S183,188018.0,170758.0
