,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
B10-e003Coalescence-mGAM-p3,4106.0,56090.0
B10-e003Coalescence-mGAM-p7,881.0,11636.0
B4-e003Coalescence-Inoculumn-mGAM,4146.0,57202.0
C3-e003Coalescence-Inoculumn-mGAM,2821.0,38029.0
C9-e003Coalescence-mGAM-p3,5594.0,73893.0
C9-e003Coalescence-mGAM-p5,4067.0,57623.0
C9-e003Coalescence-mGAM-p7,5485.0,72877.0
F100-e003Coalescence-mGAM-p3_S167,4184.0,55854.0
F100-e003Coalescence-mGAM-p5_S67,926.0,11170.0
F100-e003Coalescence-mGAM-p7_S163,485.0,6282.0
G9-e003Coalescence-mGAM-p3_S178,8691.0,118995.0
G9-e003Coalescence-mGAM-p5_S78,2402.0,32583.0
G9-e003Coalescence-mGAM-p7_S174,5838.0,81462.0
